"experiment","model","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value","condition"
"short_exposure","experience","2",0.726972551959167,0.0274330108284361,59.3633437580195,0.672086253125135,0.781858850793199,26.4999185290159,1.37006441226436e-34,"experience"
"short_exposure","experience","10",0.730921027610558,0.0278530336278435,62.8776627019308,0.675259061837726,0.786582993383391,26.2420617221345,1.39856086814474e-35,"experience"
"short_exposure","experience","20",0.68239218703247,0.0276333093059813,61.0220095530626,0.627136373079027,0.737648000985914,24.694551762744,1.82551643600305e-33,"experience"
