"comparison_set","contrast","estimate","SE","df","t.ratio","p.value"
"noise_overall","X2 - X10",-0.570383445383445,0.253546336518343,36,-2.249622113322,0.0764013008645721
"noise_overall","X2 - X20",-0.449195699195699,0.342710104297317,36,-1.31071623965309,0.398563427292824
"noise_overall","X10 - X20",0.121187746187746,0.313754304132513,36,0.386250466022494,0.9212369413455
