"experiment","comparison_set","contrast","estimate","SE","df","t.ratio","p.value"
"short_exposure","noise_within_condition","array_length2 - array_length10",0.0798715022449774,0.0296615222843858,3362.72436334559,2.69276477043873,0.0194946944230618
"short_exposure","noise_within_condition","array_length2 - array_length20",0.0583043397104803,0.030000120010328,3362.75233866769,1.94347021579941,0.126776631804748
"short_exposure","noise_within_condition","array_length10 - array_length20",-0.0215671625344971,0.0299922254144939,3361.43423239934,-0.719091772498971,0.752198891617037
