"participant_id","condition","array_length","band","n_trials","dist","inward"
"experience.5ff07b5ee7a1d23e719e421e","experience","2","extreme",18,8.46135265700483,2.44444444444445
"experience.5ff07b5ee7a1d23e719e421e","experience","2","middle",13,3.07357859531773,-0.307692307692308
"experience.5ff07b5ee7a1d23e719e421e","experience","10","extreme",18,8.3719806763285,2.44444444444445
"experience.5ff07b5ee7a1d23e719e421e","experience","10","middle",11,3.45849802371542,0.909090909090909
"experience.5ff07b5ee7a1d23e719e421e","experience","20","extreme",18,8.40579710144928,5.61111111111111
"experience.5ff07b5ee7a1d23e719e421e","experience","20","middle",14,2.97204968944099,1.42857142857143
"experience.603006ea5f6c24dfc908f835","experience","2","extreme",20,9.1,-0.15
"experience.603006ea5f6c24dfc908f835","experience","2","middle",12,2.33333333333333,0.166666666666667
"experience.603006ea5f6c24dfc908f835","experience","10","extreme",16,9.19934210526316,1.375
"experience.603006ea5f6c24dfc908f835","experience","10","middle",16,2.78552631578947,2.4375
"experience.603006ea5f6c24dfc908f835","experience","20","extreme",12,8.41666666666667,0.583333333333333
"experience.603006ea5f6c24dfc908f835","experience","20","middle",19,3.0803324099723,-0.157894736842105
"experience.607668ac450fc6e3025a131d","experience","2","extreme",16,8.25,1
"experience.607668ac450fc6e3025a131d","experience","2","middle",16,2.1875,-0.5
"experience.607668ac450fc6e3025a131d","experience","10","extreme",14,7.68421052631579,3.21428571428571
"experience.607668ac450fc6e3025a131d","experience","10","middle",18,2.78654970760234,0.944444444444444
"experience.607668ac450fc6e3025a131d","experience","20","extreme",18,8.15204678362573,2.38888888888889
"experience.607668ac450fc6e3025a131d","experience","20","middle",13,2.63157894736842,0.461538461538461
"experience.609551c1ade88f8463666fb8","experience","2","extreme",12,9.66483516483516,1.08333333333333
"experience.609551c1ade88f8463666fb8","experience","2","middle",18,3.36996336996337,1.44444444444444
"experience.609551c1ade88f8463666fb8","experience","10","extreme",20,8.48406593406594,1.9
"experience.609551c1ade88f8463666fb8","experience","10","middle",10,2.8,-0.1
"experience.609551c1ade88f8463666fb8","experience","20","extreme",18,7.96214896214896,-0.666666666666667
"experience.609551c1ade88f8463666fb8","experience","20","middle",13,2.05156382079459,-0.307692307692308
"experience.61bb392e40db417c1a138dcb","experience","2","extreme",19,7.99713958810069,-1.8421052631579
"experience.61bb392e40db417c1a138dcb","experience","2","middle",12,2.25724637681159,-2.5
"experience.61bb392e40db417c1a138dcb","experience","10","extreme",15,7.92971014492754,1.53333333333333
"experience.61bb392e40db417c1a138dcb","experience","10","middle",15,2.86884057971014,-0.866666666666666
"experience.61bb392e40db417c1a138dcb","experience","20","extreme",16,8.4375,-1.1875
"experience.61bb392e40db417c1a138dcb","experience","20","middle",15,2.73550724637681,-4.26666666666667
"experience.622a42c21de0c55ba18a2acb","experience","2","extreme",19,8.43878718535469,2.73684210526316
"experience.622a42c21de0c55ba18a2acb","experience","2","middle",12,3.08333333333333,2.25
"experience.622a42c21de0c55ba18a2acb","experience","10","extreme",21,7.49120082815735,2.57142857142857
"experience.622a42c21de0c55ba18a2acb","experience","10","middle",9,2.58091787439613,-1.22222222222222
"experience.622a42c21de0c55ba18a2acb","experience","20","extreme",19,8.09324942791762,1.36842105263158
"experience.622a42c21de0c55ba18a2acb","experience","20","middle",12,3.81521739130435,2.41666666666667
"experience.633485c40e46cf7e9a2f2ca1","experience","2","extreme",17,8.36532507739938,0.294117647058824
"experience.633485c40e46cf7e9a2f2ca1","experience","2","middle",15,2.49614035087719,-0.6
"experience.633485c40e46cf7e9a2f2ca1","experience","10","extreme",17,8.79752321981424,-0.176470588235294
"experience.633485c40e46cf7e9a2f2ca1","experience","10","middle",15,3.02175438596491,-0.8
"experience.633485c40e46cf7e9a2f2ca1","experience","20","extreme",18,7.43801169590643,-1.11111111111111
"experience.633485c40e46cf7e9a2f2ca1","experience","20","middle",13,2.44534412955466,-0.153846153846154
"experience.641e62a8191451d08e6c08f7","experience","2","extreme",17,8.43414322250639,8.05882352941176
"experience.641e62a8191451d08e6c08f7","experience","2","middle",15,3.0268115942029,0.733333333333333
"experience.641e62a8191451d08e6c08f7","experience","10","extreme",20,8.7304347826087,5.65
"experience.641e62a8191451d08e6c08f7","experience","10","middle",10,3.15869565217391,4.8
"experience.641e62a8191451d08e6c08f7","experience","20","extreme",15,9.21376811594203,1.4
"experience.641e62a8191451d08e6c08f7","experience","20","middle",15,3.4268115942029,3.73333333333333
"experience.651b29ff3a6cadf518640abe","experience","2","extreme",24,8.50833333333333,4.83333333333333
"experience.651b29ff3a6cadf518640abe","experience","2","middle",7,3.75714285714286,1.85714285714286
"experience.651b29ff3a6cadf518640abe","experience","10","extreme",16,7.5125,5.0625
"experience.651b29ff3a6cadf518640abe","experience","10","middle",13,3.23846153846154,-2.61538461538462
"experience.651b29ff3a6cadf518640abe","experience","20","extreme",16,8.175,5.75
"experience.651b29ff3a6cadf518640abe","experience","20","middle",14,3.05714285714286,-1.14285714285714
"experience.651c4484ba17050f6b716614","experience","2","extreme",20,8.75217391304348,-0.0499999999999998
"experience.651c4484ba17050f6b716614","experience","2","middle",11,3.72233201581028,1.54545454545455
"experience.651c4484ba17050f6b716614","experience","10","extreme",18,8.22222222222222,0.444444444444444
"experience.651c4484ba17050f6b716614","experience","10","middle",14,3.35714285714286,2.42857142857143
"experience.651c4484ba17050f6b716614","experience","20","extreme",21,7.71790890269151,4.66666666666667
"experience.651c4484ba17050f6b716614","experience","20","middle",8,1.99728260869565,0.125
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","2","extreme",13,8.40635451505017,-0.076923076923077
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","2","middle",18,2.61111111111111,0.444444444444444
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","10","extreme",9,7.90579710144927,3.66666666666667
