"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","array_length"
"noise_overall","X2 - X10",-0.541005005207792,0.218771626356965,36,-2.4729212568226,0.0468837964231158,NA
"noise_overall","X2 - X20",-0.142545527297849,0.240105144410624,36,-0.593679605023664,0.824375892519906,NA
"noise_overall","X10 - X20",0.398459477909943,0.241143633175935,36,1.65237403394031,0.237369565420857,NA
"band_within_noise","extreme - middle",0.83180778211738,0.393791623411451,36,2.11230440838573,0.0416639438414781,"X2"
"band_within_noise","extreme - middle",0.99241055850963,0.420729811829822,36,2.35878354850462,0.0238825016649339,"X10"
"band_within_noise","extreme - middle",1.18937974975127,0.399242052012967,36,2.97909437083205,0.00515100053340887,"X20"
