"experiment","model","formula","rand_used","singular"
"exp1","combined","meanVal ~ resp_c * array_length * condition + (1 + array_length | participant_id)","noise_slope",FALSE
"exp1","experience","meanVal ~ resp_c * array_length + (1 | participant_id)","intercept",FALSE
"exp1","average","meanVal ~ resp_c * array_length + (1 | participant_id)","intercept",FALSE
