"experiment","condition","array_length","band","n","dist","se","inward"
"exp1","average","2","extreme",23,8.22865026014347,0.40417342602287,1.27952373713243
"exp1","average","2","middle",23,2.80336730393575,0.378704288794965,-0.086091686091686
"exp1","average","6","extreme",23,8.21009916507632,0.467438508841211,1.58887907701846
"exp1","average","6","middle",23,2.71786528080602,0.631090238238198,0.324930021669152
"exp1","average","8","extreme",23,8.4985697987486,0.712663262076615,1.91328701846605
"exp1","average","8","middle",23,2.95056716851082,0.430119161931441,0.477695865515559
"exp1","average","12","extreme",23,8.40004534447401,0.620943098793515,2.67433165726005
"exp1","average","12","middle",23,2.83711974701499,0.485155736619331,0.384900003378264
"exp1","experience","2","extreme",21,8.45289696234278,0.539496806433825,0.926048818905962
"exp1","experience","2","middle",21,2.87754631503499,0.418279562282603,-0.685773882202454
"exp1","experience","6","extreme",21,8.34814734188693,0.559270519630111,1.79210976542909
"exp1","experience","6","middle",21,2.98847983064968,0.469119013969652,-0.0624373681096371
"exp1","experience","8","extreme",21,8.57932407839073,0.579586905547333,1.79643217815487
"exp1","experience","8","middle",21,2.65833059937528,0.432065411901056,0.621220314077457
"exp1","experience","12","extreme",21,8.31835042096999,0.700705743592868,1.04946164946165
"exp1","experience","12","middle",21,2.67122559630268,0.502535487516946,-0.132382894882895
