"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"experience.67e6eddcf224e6f2c2da7497","experience","6",22,11,8,0.363636363636364
"experience.67e6eddcf224e6f2c2da7497","experience","8",22,13,3,0.136363636363636
"experience.67e6eddcf224e6f2c2da7497","experience","12",23,13,5,0.217391304347826
"experience.67ef4c37f1e3a6b457d0e046","experience","2",23,11,4,0.173913043478261
"experience.67ef4c37f1e3a6b457d0e046","experience","6",23,14,5,0.217391304347826
"experience.67ef4c37f1e3a6b457d0e046","experience","8",24,12,2,0.0833333333333333
"experience.67ef4c37f1e3a6b457d0e046","experience","12",24,10,5,0.208333333333333
"experience.67f0130f2e5e1c69ddbcfcdd","experience","2",21,14,3,0.142857142857143
"experience.67f0130f2e5e1c69ddbcfcdd","experience","6",23,18,0,0
"experience.67f0130f2e5e1c69ddbcfcdd","experience","8",23,14,0,0
"experience.67f0130f2e5e1c69ddbcfcdd","experience","12",22,11,1,0.0454545454545455
