"experiment","tail_prop","condition","array_length","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"exp1",0.1,"average","2",108,13.2401785497885,7.34902726593885,0.555054997053363
"exp1",0.1,"average","6",108,13.4018335655616,7.41476348499742,0.553264853553395
"exp1",0.1,"average","8",108,12.877345373023,7.22524934159955,0.561082205400491
"exp1",0.1,"average","12",106,12.4934041984765,7.6053357913514,0.608748077828043
"exp1",0.1,"experience","2",96,13.0026580532042,8.09714834185662,0.622730237827122
"exp1",0.1,"experience","6",100,13.3507665929163,7.97076951156953,0.597027103731907
"exp1",0.1,"experience","8",96,13.2534547638645,7.65906681196488,0.577892100469327
"exp1",0.1,"experience","12",97,14.2073890601087,7.76544803304431,0.546578122144064
