"z","experiment","participant_id","condition","array_length","n_trials","slope_fwd","slope_rev","r","bias","abs_error","sd_response","sd_objective","mean_rt"
1.22575753857337,"exp1","average.55ec49b67480920010aaa4e8","average","2",24,1.06973213317428,0.661717352415027,0.841344349810089,-4.54166666666667,5.125,9.00080511696721,7.07913345225124,1931.5
1.29903186927052,"exp1","average.55ec49b67480920010aaa4e8","average","6",23,1.17095370003957,0.633788487282463,0.861473722307236,-1.26086956521739,3.26086956521739,8.59152077626609,6.32080447173937,2035.17391304348
1.28615472737779,"exp1","average.55ec49b67480920010aaa4e8","average","8",23,1.08169934640523,0.680746717291568,0.858116122189645,-1.43478260869565,4.04347826086957,8.65751518450649,6.86803905596847,1939.78260869565
1.28827590441504,"exp1","average.55ec49b67480920010aaa4e8","average","12",21,0.923286897590361,0.798583407962224,0.858674325460229,0.80952380952381,3.0952380952381,7.64790665414244,7.11269823558375,2039.95238095238
0.76566334106437,"exp1","average.581e0aee4182b600017307ea","average","2",23,0.48972602739726,0.84792764734068,0.644400681449404,-3.47826086956522,5.47826086956522,5.74421860924791,7.5584677536263,2976.34782608696
1.09287656065133,"exp1","average.581e0aee4182b600017307ea","average","6",24,0.604428916405487,1.05336676217765,0.797925642300455,-0.208333333333333,2.875,4.49798666716243,5.93793381329015,2958.375
0.780876114282981,"exp1","average.581e0aee4182b600017307ea","average","8",23,0.565312753858651,0.754772234273319,0.653209285216535,0.782608695652174,4.08695652173913,6.03677792758981,6.97539436033644,3295.26086956522
0.345970627052554,"exp1","average.581e0aee4182b600017307ea","average","12",22,0.218196644920783,0.507588075880759,0.332797258340536,1.81818181818182,5.27272727272727,3.99675192800679,6.09591446463721,3321.90909090909
1.03205080657234,"exp1","average.5a8b61fcf1408d000176b02f","average","2",24,0.811675411339208,0.739465379617598,0.774729543887554,-5.45833333333333,5.54166666666667,6.24789819731868,5.96350616643443,3274.45833333333
0.990855007447368,"exp1","average.5a8b61fcf1408d000176b02f","average","6",21,0.921173762945915,0.623280560602128,0.757726665348991,-2.47619047619048,5.04761904761905,8.56682416012353,7.0467824471274,2856.95238095238
1.00186730507558,"exp1","average.5a8b61fcf1408d000176b02f","average","8",22,0.81045045045045,0.717155612244898,0.762377261588346,-1.09090909090909,4.09090909090909,7.36905898354941,6.93195124419871,2735.72727272727
0.462727365693346,"exp1","average.5a8b61fcf1408d000176b02f","average","12",24,0.488448570120301,0.382613799400026,0.432304479765406,0.291666666666667,5.45833333333333,7.45372195714951,6.59696350878432,2824.45833333333
1.09752654152115,"exp1","average.5dd42e7f35cf744223c60d1b","average","2",24,0.832805973927351,0.767734909769757,0.799608791377902,-3.79166666666667,4.45833333333333,6.82493297732128,6.55287855764963,2170.29166666667
1.23543418829423,"exp1","average.5dd42e7f35cf744223c60d1b","average","6",24,0.69317749576403,1.028,0.844148367080943,-0.0416666666666667,3.20833333333333,5.94357526717057,7.23805863154086,2077.20833333333
