"experiment","condition","array_length","n","se","inward","inward_low","inward_high"
"exp1","average","2",23,0.446355800618464,0.838448146056842,-1.68830227743271,3.3651985695464
"exp1","average","6",23,0.509431671614974,1.45315029173725,1.21675607001694,1.68954451345756
"exp1","average","8",23,0.640161260193491,1.82042323618411,1.54813664596273,2.09270982640548
"exp1","average","12",23,0.553855496648952,2.54986903193425,3.68057280883368,1.41916525503482
"exp1","experience","2",21,0.5247573213953,0.971749811035525,-1.38509070294785,3.3285903250189
"exp1","experience","6",21,0.535594103058478,1.57068216175359,0.679308390022676,2.4620559334845
"exp1","experience","8",21,0.534729270655848,2.01428571428571,2.16602418745276,1.86254724111867
"exp1","experience","12",21,0.615950568073487,0.580961829176115,1.9452380952381,-0.783314436885865
