"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp1","combined","average","2",0.585004135704001,0.0258004143156891,3808.81268769236,0.534420178373516,0.635588093034485,22.6742147837627,7.110503519621e-107
"exp1","combined","experience","2",0.684008269027554,0.0282945123156379,3745.09326559021,0.628534115513605,0.739482422541502,24.1745912209808,4.21406863784703e-120
"exp1","combined","average","6",0.594764860314732,0.0265032591472774,3881.53879174763,0.54280322401033,0.646726496619134,22.4411970244735,5.67894805403449e-105
"exp1","combined","experience","6",0.609961508873244,0.027089281034095,3888.29922478726,0.556850961312123,0.663072056434366,22.5167108756241,1.23039842023799e-105
"exp1","combined","average","8",0.586176336978228,0.0280051294093035,3736.38565632263,0.531269505533962,0.641083168422493,20.9310347547794,4.43347327320259e-92
"exp1","combined","experience","8",0.590718674991667,0.0282753378073066,3745.92857007094,0.53528211896954,0.646155231013793,20.8916575645303,9.02388684719872e-92
"exp1","combined","average","12",0.605866725378303,0.0285523468994519,3741.86565323691,0.54988704638254,0.661846404374066,21.2195070167746,1.88018698357925e-94
"exp1","combined","experience","12",0.599893442467109,0.0263532267721311,3886.19987330399,0.548225975267123,0.651560909667095,22.763566968638,8.80675877278528e-108
"exp1","experience","experience","2",0.678577328984037,0.0278233377186155,1911.75089281881,0.624010041946338,0.733144616021737,24.3887823900447,1.30768731158086e-114
"exp1","experience","experience","6",0.609188820570373,0.0267626640613061,1903.89952425938,0.556701595576994,0.661676045563752,22.7626375003208,1.20873389164139e-101
"exp1","experience","experience","8",0.588629942493182,0.0279590091248432,1909.00950823266,0.533796526043933,0.643463358942431,21.0533191596605,1.18176453291985e-88
"exp1","experience","experience","12",0.598536339472396,0.0260553537328509,1899.68394920053,0.547436226979612,0.64963645196518,22.9717218813942,2.98988894776613e-103
"exp1","average","average","2",0.580591161548204,0.0262573295461357,2094.5289729213,0.52909798525892,0.632084337837488,22.1115845207363,1.5191861661762e-97
"exp1","average","average","6",0.594153399417854,0.027052891577233,2089.68514306961,0.541099977527658,0.64720682130805,21.9626577706717,2.30287598092703e-96
"exp1","average","average","8",0.582984889668611,0.028625804087008,2093.50135167675,0.526846888580775,0.639122890756447,20.3657122747236,2.89298365192624e-84
"exp1","average","average","12",0.604253164564069,0.0290192496057179,2096.49460850956,0.547343625342098,0.661162703786039,20.8224944743233,1.11015140707458e-87
