"split","earlier","later","change_earlier","change_later","n","mean","se","t","p"
"half","early","late",-0.062335545496021,0.00105174099944881,80,0.0627792282168555,0.0443182739444559,1.41655399972338,0.160544607305297
"block","first block","second block",-0.0327997819318349,-0.061649442647652,85,-0.0288496607158171,0.0335371814664867,-0.86022913835637,0.392111333761822
