"colour","band_range","band","n","mean","se","t","p"
"blue","","both ends, shift removed",17,0.745588235294118,0.676134629972088,1.10272156201332,0.28645884949613
"blue","14-18","bottom",39,0.812332112332112,0.536757681728831,1.51340565768093,0.138450257816737
"blue","32-36","top",36,-0.594246031746032,0.746676412042132,-0.795854833716779,0.431481306528042
"red","","both ends, shift removed",13,0.214102564102564,0.869780619902922,0.24615697246331,0.809720828424757
"red","14-18","bottom",40,2.89347222222222,0.677238818439149,4.27245477288335,0.000120246400486171
"red","32-36","top",28,0.901105442176871,0.850644374114186,1.05932099194241,0.298838828223753
"both","","both ends, shift removed",75,0.433413271913272,0.268597742954057,1.61361472046102,0.11086763310679
"both","14-18","bottom",83,1.97488803030972,0.340136906174981,5.80615626959854,1.16856886208657e-07
"both","32-36","top",77,0.916158336612882,0.41161932715969,2.22574178655477,0.0289958907345854
