"bin","err_high","err_low","n_high","n_low","change"
"[14,18]",-0.775891341256367,-2.80679785330948,589,559,2.03090651205311
"(18,23]",-2.2020202020202,-3.4373897707231,594,567,1.2353695687029
"(23,27]",-2.88963963963964,-4.44086021505376,444,465,1.55122057541412
"(27,32]",-3.37102473498233,-4.66204506065858,566,577,1.29102032567625
"(32,36]",-4.71608040201005,-5.55606407322654,398,437,0.839983671216495
