"experiment","version","segment","n_participants","lowest_minus_highest","p"
"exp3","raw","low",74,-0.0933253212728665,0.620740360531191
"exp3","raw","mid",84,-0.000168341612027304,0.995001750321468
"exp3","raw","high",26,-1.8679043309061,0.100665471699909
"exp3","shift_removed","low",51,-0.365198067266145,0.501293766925986
"exp3","shift_removed","mid",84,0.0119852655015793,0.586749033263722
"exp3","shift_removed","high",58,-0.0788065425948229,0.817334881693543
