"experiment","version","segment","level","slope","SE","n_trials_segment"
"exp3","raw","low","2 squares",0.562594893987302,0.0540277959885813,1303
"exp3","raw","low","10 squares",0.315136512187776,0.0835432890878887,1303
"exp3","raw","low","20 squares",0.518083249221462,0.06555705863808,1303
"exp3","raw","mid","2 squares",0.682973595536392,0.0259152106932741,6058
"exp3","raw","mid","10 squares",0.688020530228032,0.0258744780824081,6058
"exp3","raw","mid","20 squares",0.677011976522013,0.024051007423559,6058
"exp3","raw","high","2 squares",-0.105137330871203,0.131269951146375,347
"exp3","raw","high","10 squares",0.076965734167564,0.117649886370041,347
"exp3","raw","high","20 squares",-0.140892660161996,0.100993602956419,347
"exp3","shift_removed","low","2 squares",-0.075329396503947,0.125275968030185,543
"exp3","shift_removed","low","10 squares",0.0439963109216459,0.115340960758255,543
"exp3","shift_removed","low","20 squares",0.121015402650267,0.105791427118474,543
"exp3","shift_removed","mid","2 squares",0.814333179341032,0.0170077672184608,6617
"exp3","shift_removed","mid","10 squares",0.810277157499634,0.0221778807540623,6617
"exp3","shift_removed","mid","20 squares",0.791703610732866,0.018515217049333,6617
"exp3","shift_removed","high","2 squares",0.0157782562139876,0.0784750577650377,548
"exp3","shift_removed","high","10 squares",0.055950535895456,0.11276091069726,548
"exp3","shift_removed","high","20 squares",0.0451233220419699,0.083259870637185,548
