"experiment","term","b","SE","df","t","p"
"exp4","(Intercept)",24.0227850816824,0.218540137546103,98.9822696011915,109.923903917259,2.88347415770325e-105
"exp4","meanVal_c",0.948037846162709,0.0217171472826027,98.8485717476748,43.653884823177,2.06395807245852e-66
"exp4","variance_level1",-0.489171667725525,0.0848977392931911,99.5750885921417,-5.76189274058511,9.31344181111521e-08
"exp4","variance_level2",0.0501931435926731,0.0499105007121462,3413.26334471716,1.00566299428966,0.314648996424889
"exp4","condition1",-0.240081882489713,0.218540137546103,98.9822695948752,-1.0985711146039,0.274620202160751
"exp4","meanVal_c:variance_level1",0.138264600487621,0.00798966355758953,20808.6685106327,17.3054346395201,1.25343072426927e-66
"exp4","meanVal_c:variance_level2",-0.00909229039646276,0.00802187008807627,20861.7332139471,-1.13343775162572,0.25704349322932
"exp4","meanVal_c:condition1",-0.0259102293728846,0.0217171472826027,98.8485717386515,-1.19307702046304,0.235695023662102
"exp4","variance_level1:condition1",0.0764303876998325,0.0848977392931911,99.5750886348926,0.900264109929748,0.370151849436748
"exp4","variance_level2:condition1",0.0600090459091127,0.0499105007121462,3413.26333955987,1.20233307726582,0.229317908641393
"exp4","meanVal_c:variance_level1:condition1",0.0153340320657985,0.00798966355758953,20808.6684975697,1.91923376438454,0.0549684172799321
"exp4","meanVal_c:variance_level2:condition1",8.89688536305761e-05,0.00802187008807627,20861.7332134274,0.0110907871423672,0.991151119636086
