"participant_id","condition","variance_level","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"average.55b5f6b6fdf99b713277dc94","average","3",13,13.7773668639053,7.81915680473373,0.567536371933215
"average.55b5f6b6fdf99b713277dc94","average","5",10,11.7211538461538,8,0.682526661197703
"average.55b5f6b6fdf99b713277dc94","average","7",6,11.8333333333333,7.61698717948718,0.643689057421452
"average.58ed2be2a083320001a13783","average","3",11,14.4576496674058,9.03148558758315,0.6246856021103
"average.58ed2be2a083320001a13783","average","5",7,11.2397212543554,8.49268292682927,0.755595511191022
"average.58ed2be2a083320001a13783","average","7",9,13.0037940379404,8.14959349593496,0.626708902967656
"average.5d27dc6b46dea800184f8bfa","average","3",3,12.9142857142857,7.76190476190476,0.601032448377581
"average.5d27dc6b46dea800184f8bfa","average","5",7,11.1061224489796,6.26530612244898,0.564130834252113
"average.5d27dc6b46dea800184f8bfa","average","7",5,12.6457142857143,4.77142857142857,0.377315860822413
"average.5eb278ce4602871c6d7e335d","average","3",23,13.9983515351329,7.50566659798063,0.536182176818677
"average.5eb278ce4602871c6d7e335d","average","5",21,12.6208530805687,8.11284134506883,0.642812438531552
"average.5eb278ce4602871c6d7e335d","average","7",9,11.7735650342285,6.5144813059505,0.55331424993291
"average.5f0a7dec44c42c19a6c9f6d9","average","3",14,13.4597585513078,7.13682092555332,0.530233948725615
"average.5f0a7dec44c42c19a6c9f6d9","average","5",22,12.8181818181818,7.18181818181818,0.560283687943262
"average.5f0a7dec44c42c19a6c9f6d9","average","7",28,12.2634138162307,7.26391683433937,0.592324204596727
"average.5f3898caed1478189b8462a0","average","3",15,12.5870855148342,7.98778359511344,0.634601519605124
"average.5f3898caed1478189b8462a0","average","5",13,11.7229158276279,8.59444220700765,0.733131785076268
"average.5f3898caed1478189b8462a0","average","7",9,11.0366492146597,7.76439790575916,0.703510436432638
"average.5f9fdfd04296cb0102563f84","average","3",6,12.5095238095238,6.2984126984127,0.503489404897856
"average.5f9fdfd04296cb0102563f84","average","5",15,12.4761904761905,7.5984126984127,0.609033078880407
"average.5f9fdfd04296cb0102563f84","average","7",20,12.6914285714286,6.99190476190476,0.55091550352694
"average.606f9bca353fc36aba9ccb8b","average","3",12,13.4791666666667,6.99839743589744,0.51920104624896
"average.606f9bca353fc36aba9ccb8b","average","5",13,12.0865384615385,6.03772189349112,0.499541031760602
"average.606f9bca353fc36aba9ccb8b","average","7",25,12.765,7.13884615384615,0.559251559251559
"average.61fa94015719bc09cb834e2e","average","3",13,13.6623329721921,9.41422896352474,0.68906452380323
"average.61fa94015719bc09cb834e2e","average","5",9,13.1298904538341,9.31611893583725,0.70953516090584
"average.61fa94015719bc09cb834e2e","average","7",13,11.9790538100397,8.71578187071145,0.727585167319867
"average.620bdd10a922fc3f247f6b6b","average","3",4,11.3301435406699,9.31578947368421,0.822212837837838
"average.620bdd10a922fc3f247f6b6b","average","5",1,10.6602870813397,10.6315789473684,0.997307001795332
"average.620bdd10a922fc3f247f6b6b","average","7",5,10.6038277511962,9.62105263157895,0.907318834040249
"average.63d40c3695dd423166c7c83d","average","3",11,13.9100428367444,7.11137553545931,0.511240376390077
"average.63d40c3695dd423166c7c83d","average","5",14,12.1114435302917,8.13724756918474,0.671864385845736
"average.63d40c3695dd423166c7c83d","average","7",28,12.4956993268512,7.04412864622289,0.563724243195116
"average.63e55e08efd239a8c8b9d39e","average","3",24,14.9423076923077,7.72996794871795,0.517320892320892
"average.63e55e08efd239a8c8b9d39e","average","5",24,14.2916666666667,6.95833333333333,0.486880466472303
"average.63e55e08efd239a8c8b9d39e","average","7",16,12.8990384615385,6.9375,0.537830786433097
"average.63fa812428f289c772131458","average","3",32,15.6617822966507,6.7194976076555,0.429037863021022
"average.63fa812428f289c772131458","average","5",27,13.3420166578061,5.58266879319511,0.418427658754931
"average.63fa812428f289c772131458","average","7",25,13.1435406698565,6.35023923444976,0.483145249362941
"average.65dfbf73ec3a047b5653add8","average","3",8,12.322966507177,7.82715311004785,0.635167928557562
"average.65dfbf73ec3a047b5653add8","average","5",12,11.8935406698565,8.70095693779904,0.731569948707633
"average.65dfbf73ec3a047b5653add8","average","7",10,11.8277511961722,8.55885167464115,0.723624595469256
"average.65ebbd5d9188410923b21986","average","3",14,13.0100133511348,8.39252336448598,0.645081841038535
"average.65ebbd5d9188410923b21986","average","5",19,11.8986719134284,7.79636005902607,0.655229433650269
"average.65ebbd5d9188410923b21986","average","7",13,11.7088425593098,7.12508986340762,0.608522134217474
"average.66295cf0dbecaeeb1cddb852","average","3",14,14.1940700808625,8.25202156334232,0.581371059627801
"average.66295cf0dbecaeeb1cddb852","average","5",14,12.688679245283,9.12398921832884,0.719065321295805
"average.66295cf0dbecaeeb1cddb852","average","7",18,11.6802935010482,6.92085953878407,0.592524454814682
"average.66c0f464e0ff62798027b486","average","3",16,13.1102053140097,6.25,0.476727850579213
"average.66c0f464e0ff62798027b486","average","5",14,12.8909592822636,7.09937888198758,0.550725413566037
"average.66c0f464e0ff62798027b486","average","7",18,12.931293612453,6.14492753623188,0.47519820679922
"average.66e89b61d7709ff7f27a76be","average","3",8,12.5966981132075,6.73349056603774,0.534544092866505
"average.66e89b61d7709ff7f27a76be","average","5",2,12.2216981132075,6.85849056603774,0.561173292165187
"average.66f0c81ea46a554aeb92cd04","average","3",3,16.2393162393162,7.78974358974359,0.479684210526316
"average.66f0c81ea46a554aeb92cd04","average","5",5,11.2564102564103,9.92615384615385,0.881822323462415
"average.66f0c81ea46a554aeb92cd04","average","7",7,11.8168498168498,6.90989010989011,0.584748915065096
"average.6711ee336b91eb0fcf53841f","average","3",22,13.1984478935698,7.74257206208426,0.586627467450651
"average.6711ee336b91eb0fcf53841f","average","5",14,12.7595818815331,6.97595818815331,0.546723102129984
"average.6711ee336b91eb0fcf53841f","average","7",15,12.6455284552846,8.17788617886179,0.646701813038447
"average.67265982eb0c3fc495c6e33a","average","3",7,14.6224982746722,8.1808143547274,0.559467623182934
"average.67265982eb0c3fc495c6e33a","average","5",9,11.3934514224369,7.4020397208803,0.64967492697635
"average.67265982eb0c3fc495c6e33a","average","7",12,11.0680354267311,6.58333333333333,0.594805950605609
"average.672a8544e38b571bd7d4fb71","average","3",6,10.9276729559748,9.12578616352201,0.835107913669065
"average.672a8544e38b571bd7d4fb71","average","5",3,11.5471698113208,9.89622641509434,0.85702614379085
"average.672a8544e38b571bd7d4fb71","average","7",2,11.5,10,0.869565217391304
"average.67382e41c232d1004b052fc4","average","3",5,12.4218009478673,8.58293838862559,0.690957649752003
"average.67382e41c232d1004b052fc4","average","5",8,12,7.75,0.645833333333333
"average.67382e41c232d1004b052fc4","average","7",3,10.911532385466,9.41706161137441,0.863037498190242
"average.673feeafa80a279f5cc63e33","average","3",23,14.9868909766222,7.40375792003496,0.494015598804578
"average.673feeafa80a279f5cc63e33","average","5",20,13.0595477386935,7.03592964824121,0.538757527367874
"average.673feeafa80a279f5cc63e33","average","7",28,13.6643933955492,7.55096913137114,0.552601854527306
"average.696a97da7648c7e49fa8eb36","average","3",19,13.2047892242454,7.53180344225493,0.570384223053383
"average.696a97da7648c7e49fa8eb36","average","5",20,13.0609004739336,6.58957345971564,0.5045267340385
