"participant_id","condition","variance_level","n_trials","r","z"
"average.67382e41c232d1004b052fc4","average","3",69,0.872257094363829,1.3424401449897
"average.67382e41c232d1004b052fc4","average","5",70,0.812822446758506,1.13529131180505
"average.67382e41c232d1004b052fc4","average","7",72,0.753922367931854,0.981981424137768
"average.673feeafa80a279f5cc63e33","average","3",63,0.850417093086185,1.25765777398422
"average.673feeafa80a279f5cc63e33","average","5",66,0.832265442019124,1.19546285441039
"average.673feeafa80a279f5cc63e33","average","7",70,0.844217199607963,1.2356737262367
"average.696a97da7648c7e49fa8eb36","average","3",71,0.814870391169458,1.14135658313552
"average.696a97da7648c7e49fa8eb36","average","5",68,0.827098289778155,1.17888053467655
"average.696a97da7648c7e49fa8eb36","average","7",72,0.646885194181246,0.769923894359804
"average.6980f50102e1cb37d5b3464a","average","3",70,0.864470893240386,1.31077308059235
"average.6980f50102e1cb37d5b3464a","average","5",71,0.746490156405189,0.964980387510606
"average.6980f50102e1cb37d5b3464a","average","7",71,0.788158089775946,1.06655053946061
"average.69854f587004c7ca1ef67ab5","average","3",69,0.80672812398557,1.11758747025012
"average.69854f587004c7ca1ef67ab5","average","5",69,0.790299202088092,1.07222814697705
"average.69854f587004c7ca1ef67ab5","average","7",72,0.752070290631253,0.977704057444235
"average.69864918d688ba39aab5c4a9","average","3",69,0.771782922566859,1.02472217473029
"average.69864918d688ba39aab5c4a9","average","5",66,0.795225591816482,1.08548852280099
"average.69864918d688ba39aab5c4a9","average","7",71,0.670947928837694,0.812465178590475
"average.698a3d827015c99ab3f87957","average","3",70,0.722258511906198,0.912350507327642
"average.698a3d827015c99ab3f87957","average","5",69,0.763171504618729,1.00376661332965
"average.698a3d827015c99ab3f87957","average","7",70,0.498564416141937,0.547393860352788
"average.699288bfa36a91c33ada5723","average","3",71,0.761667159012576,1.0001738504384
"average.699288bfa36a91c33ada5723","average","5",70,0.728830407896069,0.926227983893826
"average.699288bfa36a91c33ada5723","average","7",70,0.576986354102954,0.657933247761091
"average.6998845b8b98b147215b19e5","average","3",69,0.908958107710916,1.5214965617244
"average.6998845b8b98b147215b19e5","average","5",72,0.860741512125359,1.29619925926463
"average.6998845b8b98b147215b19e5","average","7",72,0.839149083992061,1.21829017041053
"average.699f3d1a77d51612aeaf5766","average","3",72,0.861354540005994,1.29856986090834
"average.699f3d1a77d51612aeaf5766","average","5",70,0.82947501083924,1.18645123768903
"average.699f3d1a77d51612aeaf5766","average","7",69,0.752084007113673,0.977735634597001
"average.699fc622b54af00bf1380eba","average","3",71,0.856143365984226,1.27871947421959
"average.699fc622b54af00bf1380eba","average","5",70,0.837734285690936,1.21352676101881
"average.699fc622b54af00bf1380eba","average","7",70,0.877374236241938,1.36424612521652
