"participant_id","condition","variance_level","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.66e89b61d7709ff7f27a76be","average","5",2,11,12,-0.818181818181818,4.16666666666667,1.67424242424242
"average.66e89b61d7709ff7f27a76be","average","7",2,4,25,-0.75,3.48,1.365
"average.66f0c81ea46a554aeb92cd04","average","3",2,13,15,-0.384615384615384,1.73333333333333,0.674358974358974
"average.66f0c81ea46a554aeb92cd04","average","5",2,19,14,3,4.35714285714286,3.67857142857143
"average.66f0c81ea46a554aeb92cd04","average","7",2,18,15,2.88888888888889,4.06666666666667,3.47777777777778
"average.6711ee336b91eb0fcf53841f","average","3",2,19,17,-2.8421052631579,-1.23529411764706,-2.03869969040248
"average.6711ee336b91eb0fcf53841f","average","5",2,23,13,0.478260869565217,-0.923076923076923,-0.222408026755853
"average.6711ee336b91eb0fcf53841f","average","7",2,15,15,-0.533333333333333,1.13333333333333,0.3
"average.67265982eb0c3fc495c6e33a","average","3",2,23,11,-0.17391304347826,-0.454545454545454,-0.314229249011857
"average.67265982eb0c3fc495c6e33a","average","5",2,20,16,2.35,-0.3125,1.01875
"average.67265982eb0c3fc495c6e33a","average","7",2,13,17,2,0.705882352941176,1.35294117647059
"average.672a8544e38b571bd7d4fb71","average","3",2,21,20,0.952380952380952,2.1,1.52619047619048
"average.672a8544e38b571bd7d4fb71","average","5",2,24,14,2.54166666666667,1.42857142857143,1.98511904761905
"average.672a8544e38b571bd7d4fb71","average","7",2,14,12,3.78571428571429,3.41666666666667,3.60119047619048
"average.67382e41c232d1004b052fc4","average","3",2,16,17,-0.3125,3.11764705882353,1.40257352941176
"average.67382e41c232d1004b052fc4","average","5",2,18,19,0.388888888888889,4.10526315789474,2.24707602339181
"average.67382e41c232d1004b052fc4","average","7",2,23,10,1,6.1,3.55
"average.673feeafa80a279f5cc63e33","average","3",2,14,16,-0.285714285714286,-5.125,-2.70535714285714
"average.673feeafa80a279f5cc63e33","average","5",2,15,13,1.6,-6.76923076923077,-2.58461538461538
"average.673feeafa80a279f5cc63e33","average","7",2,20,16,0.95,-4.8125,-1.93125
"average.696a97da7648c7e49fa8eb36","average","3",2,19,17,1.10526315789474,-3.41176470588235,-1.15325077399381
"average.696a97da7648c7e49fa8eb36","average","5",2,21,13,-1.14285714285714,-1,-1.07142857142857
"average.696a97da7648c7e49fa8eb36","average","7",2,19,15,2.36842105263158,-0.333333333333333,1.01754385964912
"average.6980f50102e1cb37d5b3464a","average","3",2,18,12,-0.944444444444444,2.08333333333333,0.569444444444444
"average.6980f50102e1cb37d5b3464a","average","5",2,22,15,0.818181818181818,3.26666666666667,2.04242424242424
"average.6980f50102e1cb37d5b3464a","average","7",2,19,19,0.31578947368421,3.52631578947368,1.92105263157895
"average.69854f587004c7ca1ef67ab5","average","3",2,12,20,0,-0.0499999999999998,-0.0249999999999999
"average.69854f587004c7ca1ef67ab5","average","5",2,25,10,1.68,0.3,0.99
"average.69854f587004c7ca1ef67ab5","average","7",2,20,16,4.25,1.3125,2.78125
"average.69864918d688ba39aab5c4a9","average","3",2,18,17,-2.11111111111111,1.52941176470588,-0.290849673202614
"average.69864918d688ba39aab5c4a9","average","5",2,20,13,1.2,2,1.6
"average.69864918d688ba39aab5c4a9","average","7",2,20,13,2.25,4.61538461538461,3.43269230769231
"average.698a3d827015c99ab3f87957","average","3",2,18,18,-2.16666666666667,8.38888888888889,3.11111111111111
"average.698a3d827015c99ab3f87957","average","5",2,18,15,-2.94444444444444,9,3.02777777777778
"average.698a3d827015c99ab3f87957","average","7",2,23,11,-0.478260869565217,10.6363636363636,5.07905138339921
"average.699288bfa36a91c33ada5723","average","3",2,20,16,-4.05,4.125,0.0375000000000001
"average.699288bfa36a91c33ada5723","average","5",2,19,12,-2.57894736842105,5.91666666666667,1.66885964912281
"average.699288bfa36a91c33ada5723","average","7",2,20,17,-1.3,10.1176470588235,4.40882352941176
"average.6998845b8b98b147215b19e5","average","3",2,17,20,-0.0588235294117649,-0.8,-0.429411764705882
"average.6998845b8b98b147215b19e5","average","5",2,17,17,0.588235294117647,-1.23529411764706,-0.323529411764706
"average.6998845b8b98b147215b19e5","average","7",2,26,8,1.11538461538462,2.125,1.62019230769231
"average.699f3d1a77d51612aeaf5766","average","3",2,14,16,-2.92857142857143,-3.625,-3.27678571428571
"average.699f3d1a77d51612aeaf5766","average","5",2,20,14,-0.25,0.428571428571428,0.0892857142857142
"average.699f3d1a77d51612aeaf5766","average","7",2,24,16,-1.54166666666667,3.3125,0.885416666666667
"average.699fc622b54af00bf1380eba","average","3",2,23,12,-4.65217391304348,-3.41666666666667,-4.03442028985507
"average.699fc622b54af00bf1380eba","average","5",2,22,9,-2.90909090909091,-0.111111111111111,-1.51010101010101
"average.699fc622b54af00bf1380eba","average","7",2,13,25,-1.07692307692308,-0.76,-0.918461538461538
"average.69a30af34cf4575fd785090b","average","3",2,15,15,-2.66666666666667,-6.06666666666667,-4.36666666666667
"average.69a30af34cf4575fd785090b","average","5",2,21,18,0.857142857142857,-1.72222222222222,-0.432539682539683
"average.69a30af34cf4575fd785090b","average","7",2,22,11,0.0909090909090908,-2.45454545454545,-1.18181818181818
"average.69a4b67351c86f1665010c28","average","3",2,15,15,1.73333333333333,-0.333333333333333,0.7
"average.69a4b67351c86f1665010c28","average","5",2,21,16,2.66666666666667,0.125,1.39583333333333
"average.69a4b67351c86f1665010c28","average","7",2,19,15,3.89473684210526,1.93333333333333,2.9140350877193
"average.69a54b53983c2fc21935a276","average","3",2,16,19,-6.8125,0.631578947368421,-3.09046052631579
"average.69a54b53983c2fc21935a276","average","5",2,18,8,-5,-2.25,-3.625
"average.69a54b53983c2fc21935a276","average","7",2,23,14,-2.69565217391304,-0.5,-1.59782608695652
"average.69aa203bc67c0093e96b9875","average","3",2,15,18,-1.06666666666667,-1.27777777777778,-1.17222222222222
"average.69aa203bc67c0093e96b9875","average","5",2,19,14,-0.263157894736842,-2.71428571428571,-1.48872180451128
"average.69aa203bc67c0093e96b9875","average","7",2,25,13,0.16,-1.38461538461538,-0.612307692307692
"average.69ac80094c5494db959077d6","average","3",2,22,17,-0.454545454545455,2.88235294117647,1.21390374331551
"average.69ac80094c5494db959077d6","average","5",2,17,10,1.64705882352941,6.3,3.97352941176471
"average.69ac80094c5494db959077d6","average","7",2,17,18,-0.294117647058824,7.61111111111111,3.65849673202614
"average.69acffd5ce1304cfa474a22f","average","3",2,25,14,-2.04,-4.07142857142857,-3.05571428571429
"average.69acffd5ce1304cfa474a22f","average","5",2,18,10,-0.166666666666666,-0.8,-0.483333333333333
"average.69acffd5ce1304cfa474a22f","average","7",2,14,20,-0.0714285714285715,3.6,1.76428571428571
"average.69af386aa115c4cb66894fb8","average","3",2,24,14,8.08333333333333,-2.5,2.79166666666667
"average.69af386aa115c4cb66894fb8","average","5",2,18,11,7.88888888888889,-2.09090909090909,2.8989898989899
"average.69af386aa115c4cb66894fb8","average","7",2,14,17,9.28571428571429,4,6.64285714285714
"average.69b4b502fec38544c443c643","average","3",2,18,13,0.444444444444444,-0.615384615384616,-0.0854700854700857
"average.69b4b502fec38544c443c643","average","5",2,21,15,4,-0.533333333333333,1.73333333333333
"average.69b4b502fec38544c443c643","average","7",2,20,16,4.55,-0.3125,2.11875
"average.69b702926fc53d9dd8eeaa52","average","3",2,20,7,4.85,-7.28571428571429,-1.21785714285714
