"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",0.0482041080530455,0.00593670242033085,99,8.11967732928057,2.2728430248975e-10,NA,NA
"noise_overall","X3 - X7",0.0566475116588404,0.0075580359811718,99,7.49500423125238,3.0869817813084e-10,NA,NA
"noise_overall","X5 - X7",0.0084434036057949,0.00606107203874344,99,1.39305448802178,0.348426699364743,NA,NA
"noise_within_condition","X3 - X5",0.0483412554778055,0.00835409849347833,99,5.78653166652792,2.52667799793826e-07,"average",NA
"noise_within_condition","X3 - X7",0.0543921336724745,0.0106356311186714,99,5.11414255210361,4.59347238546126e-06,"average",NA
"noise_within_condition","X5 - X7",0.00605087819466896,0.00852911080978663,99,0.709438337666566,0.758498354566282,"average",NA
"noise_within_condition","X3 - X5",0.0480669606282854,0.00843722589904476,99,5.69701003664337,3.75362991578143e-07,"experience",NA
"noise_within_condition","X3 - X7",0.0589028896452062,0.0107414609005619,99,5.48369446116264,9.53100348755065e-07,"experience",NA
"noise_within_condition","X5 - X7",0.0108359290169208,0.00861397967432774,99,1.25794689871572,0.422306453878731,"experience",NA
"condition_within_noise","average - experience",-0.0119928661065715,0.0175365143056244,99,-0.683879697958281,0.495648774922316,NA,"X3"
"condition_within_noise","average - experience",-0.0122671609560916,0.0135174719268683,99,-0.907504082306135,0.366344002698441,NA,"X5"
"condition_within_noise","average - experience",-0.00748211013383972,0.0142111078179161,99,-0.52649731672621,0.599720335714691,NA,"X7"
