"experiment","condition","variance_level","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp4","experience","3",1.09678156182132,0.0332046781614583,62.6212621222208,1.03041945242362,1.16314367121902,33.030934872737,2.47991973147956e-41
"exp4","experience","5",0.965199845349123,0.0333346782998496,63.5964733876537,0.898598031192351,1.03180165950589,28.9548270622872,2.45389285193009e-38
"exp4","experience","7",0.860713929238304,0.0333759059851329,63.9107764000438,0.794036099346485,0.927391759130124,25.7884813560328,1.72118339880782e-35
"exp4","average","3",1.07606615256095,0.032278773925686,64.3492032957928,1.01158862746994,1.14054367765196,33.3366488776287,2.58009828210697e-42
"exp4","average","5",0.913173959519044,0.032218217474681,63.8695259352599,0.848808138720381,0.977539780317706,28.3434041699132,6.86874387505403e-38
"exp4","average","7",0.777786659802853,0.0322337998149996,63.9939244221369,0.713392124298226,0.842181195307481,24.1295368298751,7.69543968004433e-34
