"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","variance_level"
"condition","exp4","sd_objective","average - experience",NA,0.0750480486512925,0.0736725280615603,99,1.01867073963558,0.310842282554068,"X5"
"condition","exp4","sd_objective","average - experience",NA,0.0976445073355116,0.102875440522139,99,0.949152750548836,0.344854204060142,"X7"
"noise","exp4","mean_rt","X3 - X5","average",8.77738116200645,16.7253636807384,99,0.524794637028721,0.859401157092031,NA
"noise","exp4","mean_rt","X3 - X7","average",20.3157623719268,20.7610482695244,99,0.978551858662588,0.592097972834205,NA
"noise","exp4","mean_rt","X5 - X7","average",11.5383812099204,15.1098771606678,99,0.763631701782178,0.72610350392928,NA
"noise","exp4","mean_rt","X3 - X5","experience",13.2897876138951,16.8917893089519,99,0.786760204666542,0.712018573989214,NA
"noise","exp4","mean_rt","X3 - X7","experience",10.7207180404277,20.9676309523634,99,0.511298489790487,0.866024690244276,NA
"noise","exp4","mean_rt","X5 - X7","experience",-2.56906957346732,15.2602279002209,99,-0.168350668827832,0.984499080316254,NA
"condition","exp4","mean_rt","average - experience",NA,-252.722755547951,162.200244572616,99,-1.55809108804894,0.122402803537997,"X3"
"condition","exp4","mean_rt","average - experience",NA,-248.210349096062,165.982767701617,99,-1.49539830268563,0.137991491454991,"X5"
"condition","exp4","mean_rt","average - experience",NA,-262.31779987945,165.680871223969,99,-1.58327149019422,0.11654906932705,"X7"
