"participant_id","condition","variance_level","side","n_trials","inward"
"average.66295cf0dbecaeeb1cddb852","average","3","high",6,-1.5
"average.66295cf0dbecaeeb1cddb852","average","3","low",28,-2.53571428571429
"average.66295cf0dbecaeeb1cddb852","average","5","high",12,-1.83333333333333
"average.66295cf0dbecaeeb1cddb852","average","5","low",18,0.722222222222222
"average.66295cf0dbecaeeb1cddb852","average","7","high",28,0.892857142857143
"average.66295cf0dbecaeeb1cddb852","average","7","low",14,1.5
"average.66c0f464e0ff62798027b486","average","3","high",11,-2.18181818181818
"average.66c0f464e0ff62798027b486","average","3","low",22,-2.22727272727273
"average.66c0f464e0ff62798027b486","average","5","high",15,2.13333333333333
"average.66c0f464e0ff62798027b486","average","5","low",16,0.5
"average.66c0f464e0ff62798027b486","average","7","high",18,3.72222222222222
"average.66c0f464e0ff62798027b486","average","7","low",20,0.95
"average.66e89b61d7709ff7f27a76be","average","3","high",9,3.44444444444444
"average.66e89b61d7709ff7f27a76be","average","3","low",44,0.181818181818183
"average.66e89b61d7709ff7f27a76be","average","5","high",12,4.16666666666667
"average.66e89b61d7709ff7f27a76be","average","5","low",11,-0.818181818181818
"average.66e89b61d7709ff7f27a76be","average","7","high",25,3.48
"average.66e89b61d7709ff7f27a76be","average","7","low",4,-0.75
"average.66f0c81ea46a554aeb92cd04","average","3","high",15,1.73333333333333
"average.66f0c81ea46a554aeb92cd04","average","3","low",13,-0.384615384615384
"average.66f0c81ea46a554aeb92cd04","average","5","high",14,4.35714285714286
"average.66f0c81ea46a554aeb92cd04","average","5","low",19,3
"average.66f0c81ea46a554aeb92cd04","average","7","high",15,4.06666666666667
"average.66f0c81ea46a554aeb92cd04","average","7","low",18,2.88888888888889
"average.6711ee336b91eb0fcf53841f","average","3","high",17,-1.23529411764706
"average.6711ee336b91eb0fcf53841f","average","3","low",19,-2.8421052631579
"average.6711ee336b91eb0fcf53841f","average","5","high",13,-0.923076923076923
"average.6711ee336b91eb0fcf53841f","average","5","low",23,0.478260869565217
"average.6711ee336b91eb0fcf53841f","average","7","high",15,1.13333333333333
"average.6711ee336b91eb0fcf53841f","average","7","low",15,-0.533333333333333
"average.67265982eb0c3fc495c6e33a","average","3","high",11,-0.454545454545454
"average.67265982eb0c3fc495c6e33a","average","3","low",23,-0.17391304347826
"average.67265982eb0c3fc495c6e33a","average","5","high",16,-0.3125
"average.67265982eb0c3fc495c6e33a","average","5","low",20,2.35
"average.67265982eb0c3fc495c6e33a","average","7","high",17,0.705882352941176
"average.67265982eb0c3fc495c6e33a","average","7","low",13,2
"average.672a8544e38b571bd7d4fb71","average","3","high",20,2.1
"average.672a8544e38b571bd7d4fb71","average","3","low",21,0.952380952380952
"average.672a8544e38b571bd7d4fb71","average","5","high",14,1.42857142857143
"average.672a8544e38b571bd7d4fb71","average","5","low",24,2.54166666666667
"average.672a8544e38b571bd7d4fb71","average","7","high",12,3.41666666666667
"average.672a8544e38b571bd7d4fb71","average","7","low",14,3.78571428571429
"average.67382e41c232d1004b052fc4","average","3","high",17,3.11764705882353
"average.67382e41c232d1004b052fc4","average","3","low",16,-0.3125
"average.67382e41c232d1004b052fc4","average","5","high",19,4.10526315789474
"average.67382e41c232d1004b052fc4","average","5","low",18,0.388888888888889
"average.67382e41c232d1004b052fc4","average","7","high",10,6.1
"average.67382e41c232d1004b052fc4","average","7","low",23,1
"average.673feeafa80a279f5cc63e33","average","3","high",16,-5.125
"average.673feeafa80a279f5cc63e33","average","3","low",14,-0.285714285714286
"average.673feeafa80a279f5cc63e33","average","5","high",13,-6.76923076923077
"average.673feeafa80a279f5cc63e33","average","5","low",15,1.6
"average.673feeafa80a279f5cc63e33","average","7","high",16,-4.8125
"average.673feeafa80a279f5cc63e33","average","7","low",20,0.95
"average.696a97da7648c7e49fa8eb36","average","3","high",17,-3.41176470588235
"average.696a97da7648c7e49fa8eb36","average","3","low",19,1.10526315789474
"average.696a97da7648c7e49fa8eb36","average","5","high",13,-1
"average.696a97da7648c7e49fa8eb36","average","5","low",21,-1.14285714285714
"average.696a97da7648c7e49fa8eb36","average","7","high",15,-0.333333333333333
"average.696a97da7648c7e49fa8eb36","average","7","low",19,2.36842105263158
"average.6980f50102e1cb37d5b3464a","average","3","high",12,2.08333333333333
"average.6980f50102e1cb37d5b3464a","average","3","low",18,-0.944444444444444
"average.6980f50102e1cb37d5b3464a","average","5","high",15,3.26666666666667
"average.6980f50102e1cb37d5b3464a","average","5","low",22,0.818181818181818
"average.6980f50102e1cb37d5b3464a","average","7","high",19,3.52631578947368
"average.6980f50102e1cb37d5b3464a","average","7","low",19,0.31578947368421
"average.69854f587004c7ca1ef67ab5","average","3","high",20,-0.0499999999999998
"average.69854f587004c7ca1ef67ab5","average","3","low",12,0
"average.69854f587004c7ca1ef67ab5","average","5","high",10,0.3
"average.69854f587004c7ca1ef67ab5","average","5","low",25,1.68
"average.69854f587004c7ca1ef67ab5","average","7","high",16,1.3125
"average.69854f587004c7ca1ef67ab5","average","7","low",20,4.25
"average.69864918d688ba39aab5c4a9","average","3","high",17,1.52941176470588
"average.69864918d688ba39aab5c4a9","average","3","low",18,-2.11111111111111
"average.69864918d688ba39aab5c4a9","average","5","high",13,2
"average.69864918d688ba39aab5c4a9","average","5","low",20,1.2
"average.69864918d688ba39aab5c4a9","average","7","high",13,4.61538461538461
"average.69864918d688ba39aab5c4a9","average","7","low",20,2.25
"average.698a3d827015c99ab3f87957","average","3","high",18,8.38888888888889
"average.698a3d827015c99ab3f87957","average","3","low",18,-2.16666666666667
"average.698a3d827015c99ab3f87957","average","5","high",15,9
"average.698a3d827015c99ab3f87957","average","5","low",18,-2.94444444444444
"average.698a3d827015c99ab3f87957","average","7","high",11,10.6363636363636
"average.698a3d827015c99ab3f87957","average","7","low",23,-0.478260869565217
"average.699288bfa36a91c33ada5723","average","3","high",16,4.125
"average.699288bfa36a91c33ada5723","average","3","low",20,-4.05
"average.699288bfa36a91c33ada5723","average","5","high",12,5.91666666666667
"average.699288bfa36a91c33ada5723","average","5","low",19,-2.57894736842105
"average.699288bfa36a91c33ada5723","average","7","high",17,10.1176470588235
"average.699288bfa36a91c33ada5723","average","7","low",20,-1.3
"average.6998845b8b98b147215b19e5","average","3","high",20,-0.8
"average.6998845b8b98b147215b19e5","average","3","low",17,-0.0588235294117649
"average.6998845b8b98b147215b19e5","average","5","high",17,-1.23529411764706
"average.6998845b8b98b147215b19e5","average","5","low",17,0.588235294117647
"average.6998845b8b98b147215b19e5","average","7","high",8,2.125
"average.6998845b8b98b147215b19e5","average","7","low",26,1.11538461538462
"average.699f3d1a77d51612aeaf5766","average","3","high",16,-3.625
"average.699f3d1a77d51612aeaf5766","average","3","low",14,-2.92857142857143
"average.699f3d1a77d51612aeaf5766","average","5","high",14,0.428571428571428
"average.699f3d1a77d51612aeaf5766","average","5","low",20,-0.25
"average.699f3d1a77d51612aeaf5766","average","7","high",16,3.3125
"average.699f3d1a77d51612aeaf5766","average","7","low",24,-1.54166666666667
"average.699fc622b54af00bf1380eba","average","3","high",12,-3.41666666666667
"average.699fc622b54af00bf1380eba","average","3","low",23,-4.65217391304348
"average.699fc622b54af00bf1380eba","average","5","high",9,-0.111111111111111
"average.699fc622b54af00bf1380eba","average","5","low",22,-2.90909090909091
"average.699fc622b54af00bf1380eba","average","7","high",25,-0.76
"average.699fc622b54af00bf1380eba","average","7","low",13,-1.07692307692308
"average.69a30af34cf4575fd785090b","average","3","high",15,-6.06666666666667
"average.69a30af34cf4575fd785090b","average","3","low",15,-2.66666666666667
"average.69a30af34cf4575fd785090b","average","5","high",18,-1.72222222222222
"average.69a30af34cf4575fd785090b","average","5","low",21,0.857142857142857
"average.69a30af34cf4575fd785090b","average","7","high",11,-2.45454545454545
"average.69a30af34cf4575fd785090b","average","7","low",22,0.0909090909090908
"average.69a4b67351c86f1665010c28","average","3","high",15,-0.333333333333333
"average.69a4b67351c86f1665010c28","average","3","low",15,1.73333333333333
"average.69a4b67351c86f1665010c28","average","5","high",16,0.125
"average.69a4b67351c86f1665010c28","average","5","low",21,2.66666666666667
"average.69a4b67351c86f1665010c28","average","7","high",15,1.93333333333333
"average.69a4b67351c86f1665010c28","average","7","low",19,3.89473684210526
"average.69a54b53983c2fc21935a276","average","3","high",19,0.631578947368421
"average.69a54b53983c2fc21935a276","average","3","low",16,-6.8125
"average.69a54b53983c2fc21935a276","average","5","high",8,-2.25
"average.69a54b53983c2fc21935a276","average","5","low",18,-5
"average.69a54b53983c2fc21935a276","average","7","high",14,-0.5
"average.69a54b53983c2fc21935a276","average","7","low",23,-2.69565217391304
"average.69aa203bc67c0093e96b9875","average","3","high",18,-1.27777777777778
"average.69aa203bc67c0093e96b9875","average","3","low",15,-1.06666666666667
"average.69aa203bc67c0093e96b9875","average","5","high",14,-2.71428571428571
"average.69aa203bc67c0093e96b9875","average","5","low",19,-0.263157894736842
"average.69aa203bc67c0093e96b9875","average","7","high",13,-1.38461538461538
"average.69aa203bc67c0093e96b9875","average","7","low",25,0.16
"average.69ac80094c5494db959077d6","average","3","high",17,2.88235294117647
"average.69ac80094c5494db959077d6","average","3","low",22,-0.454545454545455
"average.69ac80094c5494db959077d6","average","5","high",10,6.3
"average.69ac80094c5494db959077d6","average","5","low",17,1.64705882352941
"average.69ac80094c5494db959077d6","average","7","high",18,7.61111111111111
"average.69ac80094c5494db959077d6","average","7","low",17,-0.294117647058824
"average.69acffd5ce1304cfa474a22f","average","3","high",14,-4.07142857142857
"average.69acffd5ce1304cfa474a22f","average","3","low",25,-2.04
"average.69acffd5ce1304cfa474a22f","average","5","high",10,-0.8
"average.69acffd5ce1304cfa474a22f","average","5","low",18,-0.166666666666666
"average.69acffd5ce1304cfa474a22f","average","7","high",20,3.6
"average.69acffd5ce1304cfa474a22f","average","7","low",14,-0.0714285714285715
"average.69af386aa115c4cb66894fb8","average","3","high",14,-2.5
"average.69af386aa115c4cb66894fb8","average","3","low",24,8.08333333333333
"average.69af386aa115c4cb66894fb8","average","5","high",11,-2.09090909090909
"average.69af386aa115c4cb66894fb8","average","5","low",18,7.88888888888889
"average.69af386aa115c4cb66894fb8","average","7","high",17,4
"average.69af386aa115c4cb66894fb8","average","7","low",14,9.28571428571429
