"experiment","condition","variance_level","n","se","signed_err"
"exp4","average","3",51,0.381907350771792,-1.1115939849926
"exp4","average","5",51,0.339275279825266,-0.651325626651104
"exp4","average","7",51,0.367302640584136,-0.421207669845563
"exp4","experience","3",50,0.32082582212941,-0.896308329787647
"exp4","experience","5",50,0.312526390015969,-0.0331238581770827
"exp4","experience","7",50,0.392490517302589,0.499751672766199
