"participant_id","condition","array_length","n_trials","r","z"
"experience.6644cf0a2e641bfd221ac4af","experience","2",31,0.883297329553825,1.39057499810362
"experience.6644cf0a2e641bfd221ac4af","experience","10",31,0.778994443891305,1.04280786126597
"experience.6644cf0a2e641bfd221ac4af","experience","20",30,0.855554706869145,1.27651906103758
"experience.6674d66310b6684b86ddf7b9","experience","2",30,0.59344409032504,0.682965794225889
"experience.6674d66310b6684b86ddf7b9","experience","10",31,0.707346270441099,0.881852727845005
"experience.6674d66310b6684b86ddf7b9","experience","20",32,0.622211244744609,0.728605136262113
"experience.669aed56568d11bad784de3b","experience","2",31,0.797817293747591,1.09257840924484
"experience.669aed56568d11bad784de3b","experience","10",32,0.768184194344026,1.01588265245109
"experience.669aed56568d11bad784de3b","experience","20",30,0.688308653808424,0.844734543547908
"experience.66b68e2b2c21a7ed557cf866","experience","2",31,0.912863406575009,1.54443981868031
"experience.66b68e2b2c21a7ed557cf866","experience","10",32,0.8677403504597,1.3238587889899
"experience.66b68e2b2c21a7ed557cf866","experience","20",31,0.717323970832294,0.902110529351739
"experience.66d1a34290c0181302a08f66","experience","2",32,0.762286902099002,1.00165157263174
"experience.66d1a34290c0181302a08f66","experience","10",32,0.686850582722476,0.841969030340169
"experience.66d1a34290c0181302a08f66","experience","20",31,0.742865889288758,0.95684415987404
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","2",32,0.795692976744545,1.08676120374373
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","10",31,0.604477829713073,0.700173400449573
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","20",31,0.877325093952645,1.36403270208804
"experience.676f2ff678d74407b518207d","experience","2",31,0.831839099033145,1.19407722421436
"experience.676f2ff678d74407b518207d","experience","10",31,0.683766132627136,0.836153141282548
"experience.676f2ff678d74407b518207d","experience","20",32,0.764176378827083,1.00617753093493
"experience.6941735b3d4f8229158290ea","experience","2",31,0.918773422204538,1.58109945595432
"experience.6941735b3d4f8229158290ea","experience","10",32,0.818094461636934,1.15102835006384
"experience.6941735b3d4f8229158290ea","experience","20",30,0.855086919428618,1.27477635621597
"experience.694179d88301c400c4bbdb4d","experience","2",32,0.883302648625738,1.39059919978068
"experience.694179d88301c400c4bbdb4d","experience","10",32,0.888179853134338,1.4132384271767
"experience.694179d88301c400c4bbdb4d","experience","20",31,0.880943711337653,1.37996625437396
"experience.6942e378d0c8a15ff6b1f81e","experience","2",30,0.776488889968249,1.0364665197106
"experience.6942e378d0c8a15ff6b1f81e","experience","10",32,0.899785337943041,1.4710908364411
"experience.6942e378d0c8a15ff6b1f81e","experience","20",32,0.71105975724928,0.889324152187382
"experience.6945b7f9c69fe2317b25e4a2","experience","2",30,0.646498863304424,0.769259855283852
"experience.6945b7f9c69fe2317b25e4a2","experience","10",31,0.662570097757031,0.797381072011408
"experience.6945b7f9c69fe2317b25e4a2","experience","20",31,0.544157310898409,0.610042920368476
"experience.6957ec3547d1923f4fa00638","experience","2",31,0.910488471285785,1.53037340151894
"experience.6957ec3547d1923f4fa00638","experience","10",32,0.913814132020849,1.55017361895931
"experience.6957ec3547d1923f4fa00638","experience","20",31,0.8514349426474,1.26134665156642
"experience.695c8ba574771ee1382bed66","experience","2",32,0.843220645040029,1.23221511831914
"experience.695c8ba574771ee1382bed66","experience","10",31,0.770907316100408,1.02256032366889
"experience.695c8ba574771ee1382bed66","experience","20",30,0.697481359073639,0.862378989751646
