"comparison_set","contrast","estimate","SE","df","t.ratio","p.value"
"noise_overall","X2 - X10",-0.636989586989588,0.237558939550412,36,-2.68139598617131,0.0289170929776351
"noise_overall","X2 - X20",-0.387606947901065,0.348958115291085,36,-1.11075493280258,0.513775407728995
"noise_overall","X10 - X20",0.249382639088523,0.316144298343471,36,0.788825357266398,0.712212511928301
