"experiment","tail","array_length","emmean","SE","df","ci_low","ci_high","t.ratio","p.value"
"short_exposure","low","2",16.959912120448,0.353684989907895,59.2830956331247,16.2522607959751,17.6675634449209,47.9520268159094,3.9835799886184e-49
"short_exposure","low","10",16.9377959053019,0.454104705751755,127.672400652186,16.0392501598218,17.836341650782,37.299318176547,1.64091640301993e-70
"short_exposure","low","20",16.7850744507243,0.403345757663128,87.9808235242487,15.9835070794528,17.5866418219957,41.6146051664763,1.15913628300951e-59
"short_exposure","high","2",33.7583499488043,0.610326977833191,117.385906492738,32.5496708692919,34.9670290283166,55.3119084931401,6.36859134928088e-86
"short_exposure","high","10",33.0961747303713,0.522348225742655,73.9337981824739,32.0553576855451,34.1369917751975,63.3603659384817,3.5239963726437e-66
"short_exposure","high","20",31.2970085915214,0.53798640886823,77.7924956689422,30.2259149250114,32.3681022580314,58.1743480422886,6.97419110895946e-66
