"experiment","scope","array_length","n","M","SE","ci_low","ci_high","df","t","p"
"short_exposure","pooled","2",37,0.783350808350808,0.362083111218249,0.0490122226327403,1.51768939406888,36,2.1634558036004,0.0372214493240736
"short_exposure","pooled","10",37,1.4203403953404,0.324013118187067,0.763211334106236,2.07746945657456,36,4.38358916851129,9.70334679541823e-05
"short_exposure","pooled","20",37,1.17095775625187,0.332137674431099,0.497351331238563,1.84456418126518,36,3.52551922409147,0.00117230109697114
