"experiment","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"short_exposure","meanVal_c",15433.2351004052,15433.2351004052,1,35.9873608239848,695.193544966581,3.96037333101267e-25
"short_exposure","array_length",5223.3839112714,2611.6919556357,2,3360.39091655447,117.64425133078,4.14097645989427e-50
"short_exposure","meanVal_c:array_length",177.546057994723,88.7730289973615,2,3362.05020676947,3.99880105011013,0.0184248970061703
