"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","array_length"
"noise_overall","X2 - X10",-0.291813800393455,0.220669543646186,36,-1.32240179397543,0.392237032287324,NA
"noise_overall","X2 - X20",0.0982240277712421,0.278711680358412,36,0.352421641048305,0.933955120323608,NA
"noise_overall","X10 - X20",0.390037828164697,0.225497409315575,36,1.7296776461802,0.208188044131908,NA
"band_within_noise","extreme - middle",0.527574750020571,0.419354543785593,36,1.25806375020538,0.216467658671172,"X2"
"band_within_noise","extreme - middle",1.18244581081255,0.426005609577592,36,2.7756578416538,0.00868415202554169,"X10"
"band_within_noise","extreme - middle",1.46458599821603,0.433065015343354,36,3.38190790372396,0.001746798997674,"X20"
