"experiment","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value","condition"
"short_exposure","2",0.916633339282437,0.037135474449095,57.6403470893103,0.842288734212956,0.990977944351917,24.6834961147178,2.47100585275895e-32,"experience"
"short_exposure","10",0.835284191881934,0.0371473754624356,57.7111463250031,0.760917715988221,0.909650667775646,22.4856852330414,3.0879951284079e-30,"experience"
"short_exposure","20",0.858280948328097,0.0374028659004424,59.3287059253303,0.783446661661881,0.933115234994312,22.946930072488,3.41304494194671e-31,"experience"
