"experiment","version","level","report","mean_objective","n"
"exp2_batch2","raw","20 squares",24,25.0611510791367,139
"exp2_batch2","raw","20 squares",25,25.5652173913043,138
"exp2_batch2","raw","20 squares",26,26.0461538461538,130
"exp2_batch2","raw","20 squares",27,27.4758064516129,124
"exp2_batch2","raw","20 squares",28,27.6775700934579,107
"exp2_batch2","raw","20 squares",29,27.8174603174603,126
"exp2_batch2","raw","20 squares",30,28.8301886792453,106
"exp2_batch2","raw","20 squares",31,29,80
"exp2_batch2","raw","20 squares",32,29.1470588235294,68
"exp2_batch2","raw","20 squares",33,28.7686567164179,67
"exp2_batch2","raw","20 squares",34,30,42
"exp2_batch2","raw","20 squares",35,30.2291666666667,48
"exp2_batch2","raw","20 squares",36,30.6627906976744,43
"exp2_batch2","raw","20 squares",37,30.2666666666667,30
"exp2_batch2","raw","20 squares",38,29.8,30
"exp2_batch2","raw","20 squares",39,31.6153846153846,26
"exp2_batch2","raw","20 squares",40,31.3695652173913,23
"exp2_batch2","raw","20 squares",41,33.1363636363636,11
"exp2_batch2","raw","20 squares",42,31.625,16
"exp2_batch2","raw","20 squares",43,33,4
"exp2_batch2","raw","20 squares",44,32,6
"exp2_batch2","raw","20 squares",45,31.5,1
"exp2_batch2","raw","20 squares",46,28.5,1
"exp2_batch2","raw","20 squares",48,29.5,1
"exp2_batch2","shift_removed","2 squares",1,16,1
"exp2_batch2","shift_removed","2 squares",3,14,1
"exp2_batch2","shift_removed","2 squares",5,14,1
"exp2_batch2","shift_removed","2 squares",6,18.5,2
"exp2_batch2","shift_removed","2 squares",7,15.4285714285714,7
"exp2_batch2","shift_removed","2 squares",8,17,12
"exp2_batch2","shift_removed","2 squares",9,15.1428571428571,7
"exp2_batch2","shift_removed","2 squares",10,15.9230769230769,13
"exp2_batch2","shift_removed","2 squares",11,17.6470588235294,17
"exp2_batch2","shift_removed","2 squares",12,16.7659574468085,47
"exp2_batch2","shift_removed","2 squares",13,16.9591836734694,49
"exp2_batch2","shift_removed","2 squares",14,18.3666666666667,60
"exp2_batch2","shift_removed","2 squares",15,17.6136363636364,88
"exp2_batch2","shift_removed","2 squares",16,18.0841121495327,107
"exp2_batch2","shift_removed","2 squares",17,18.7238805970149,134
"exp2_batch2","shift_removed","2 squares",18,18.6260162601626,123
"exp2_batch2","shift_removed","2 squares",19,19.8308823529412,136
"exp2_batch2","shift_removed","2 squares",20,20.8345323741007,139
"exp2_batch2","shift_removed","2 squares",21,21.5185185185185,162
"exp2_batch2","shift_removed","2 squares",22,22.6277372262774,137
"exp2_batch2","shift_removed","2 squares",23,23.6054421768707,147
"exp2_batch2","shift_removed","2 squares",24,24.0933333333333,150
"exp2_batch2","shift_removed","2 squares",25,24.9929078014184,141
"exp2_batch2","shift_removed","2 squares",26,26.2108843537415,147
"exp2_batch2","shift_removed","2 squares",27,27.1777777777778,135
"exp2_batch2","shift_removed","2 squares",28,27.9597315436242,149
"exp2_batch2","shift_removed","2 squares",29,28.437908496732,153
"exp2_batch2","shift_removed","2 squares",30,29.3858267716535,127
"exp2_batch2","shift_removed","2 squares",31,30.1388888888889,108
"exp2_batch2","shift_removed","2 squares",32,31.0819672131148,122
"exp2_batch2","shift_removed","2 squares",33,31.7232142857143,112
"exp2_batch2","shift_removed","2 squares",34,31.7692307692308,104
"exp2_batch2","shift_removed","2 squares",35,32.4805194805195,77
"exp2_batch2","shift_removed","2 squares",36,33.1228070175439,57
