"level","band","n_trials","p","inward_skew"
"2 squares","14-17",511,NA,0
"2 squares","32+",723,NA,0
"10 squares","14-17",419,NA,-0.125669583629514
"10 squares","32+",815,NA,0.125669583629516
"20 squares","14-17",679,NA,0.398497370398196
"20 squares","32+",547,NA,-0.398497370398196
