"valence","numberFaces","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"positive",2,0.718934513708124,0.0310455826922643,85.8717469542673,0.657216622902644,0.780652404513603,23.157385088709,1.09358743397673e-38
"positive",6,0.651938076479834,0.0269396805436945,49.8543068700816,0.5978242174146,0.706051935545067,24.1999186078851,3.26068797942642e-29
"positive",12,0.551443420637399,0.0389192950890172,214.386816660876,0.474729947085716,0.628156894189082,14.1688953866231,1.33922019851929e-32
"negative",2,0.713632471695405,0.0298561376283631,119.551922696579,0.654517140433789,0.77274780295702,23.902370781459,2.30603550294577e-47
"negative",6,0.652251970340864,0.02395388547568,50.1582903679662,0.604142937113031,0.700361003568696,27.2294852124548,1.03349468580188e-31
"negative",12,0.560181218309052,0.0343191534338479,206.170740417385,0.49251973676027,0.627842699857834,16.3226992002828,5.35565289515862e-39
