"experiment","version","segment","n_participants","lowest_minus_highest","p"
"exp3","raw","low",74,-0.0933253212728665,0.620740360531191
"exp3","raw","mid",84,-0.000168341612027335,0.995001750321467
"exp3","raw","high",26,-1.86790433090609,0.100665471699909
"exp3","shift_removed","low",56,-0.439564652928417,0.386699834206203
"exp3","shift_removed","mid",84,0.0141501661661198,0.518073777757933
"exp3","shift_removed","high",47,0.231287176677989,0.594016990449293
