"experiment","version","segment","level","slope","SE","n_trials_segment"
"exp3","raw","low","2 squares",0.56259489303705,0.0540277960020112,1303
"exp3","raw","low","10 squares",0.315136509470171,0.0835432890002383,1303
"exp3","raw","low","20 squares",0.518083247214133,0.0655570586041351,1303
"exp3","raw","mid","2 squares",0.68297359555358,0.0259152105471163,6058
"exp3","raw","mid","10 squares",0.688020529890205,0.0258744772824833,6058
"exp3","raw","mid","20 squares",0.677011976376283,0.0240510070397554,6058
"exp3","raw","high","2 squares",-0.105137332170323,0.131269951180498,347
"exp3","raw","high","10 squares",0.0769657308139256,0.11764988621338,347
"exp3","raw","high","20 squares",-0.140892660136263,0.100993602864824,347
"exp3","shift_removed","low","2 squares",-0.0754988836563729,0.12534936199392,638
"exp3","shift_removed","low","10 squares",-0.00231654824238727,0.119946554016445,638
"exp3","shift_removed","low","20 squares",0.313334552503146,0.0785196665722638,638
"exp3","shift_removed","mid","2 squares",0.81432283460164,0.0170087247697223,6583
"exp3","shift_removed","mid","10 squares",0.80932614944626,0.0218731207648373,6583
"exp3","shift_removed","mid","20 squares",0.788070348210196,0.0183693494157129,6583
"exp3","shift_removed","high","2 squares",0.0156776132897708,0.0785217435550455,487
"exp3","shift_removed","high","10 squares",0.0673465203432827,0.109295577660971,487
"exp3","shift_removed","high","20 squares",-0.126231822426526,0.102282909799464,487
