"level","band","n_trials","p","inward_skew"
"2 squares","14-17",436,NA,0
"2 squares","32+",550,NA,0
"10 squares","14-17",464,NA,-0.125669583629514
"10 squares","32+",520,NA,0.125669583629516
"20 squares","14-17",468,NA,0.398497370398196
"20 squares","32+",500,NA,-0.398497370398196
