"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp2_batch2","raw","10 squares",36,30.4883720930233,43,4.474116529036,17,36
"exp2_batch2","raw","10 squares",37,31.3111111111111,45,4.45085396414003,20,36
"exp2_batch2","raw","10 squares",38,32.4705882352941,34,2.85227494655871,25,36
"exp2_batch2","raw","10 squares",39,33.1785714285714,28,2.81600677909237,27,36
"exp2_batch2","raw","10 squares",40,32,22,3.59894164336975,24,36
"exp2_batch2","raw","10 squares",41,34.0666666666667,15,1.66761877566558,30,36
"exp2_batch2","raw","10 squares",42,35,15,1.64750894209583,30,36
"exp2_batch2","raw","10 squares",43,34.5,6,1.97484176581315,31,36
"exp2_batch2","raw","10 squares",44,33.25,4,4.85626742811116,26,36
"exp2_batch2","raw","10 squares",45,34,5,2.12132034355964,31,36
"exp2_batch2","raw","10 squares",46,35.5,2,0.707106781186548,35,36
"exp2_batch2","raw","10 squares",48,31.8,5,4.60434577328853,24,36
"exp2_batch2","raw","20 squares",1,14,1,NA,14,14
"exp2_batch2","raw","20 squares",2,15,2,1.4142135623731,14,16
"exp2_batch2","raw","20 squares",4,17,9,3.08220700148449,14,23
"exp2_batch2","raw","20 squares",5,15.2222222222222,9,1.64147630029935,14,19
"exp2_batch2","raw","20 squares",6,16.3076923076923,13,2.17503315624595,14,21
"exp2_batch2","raw","20 squares",7,16.9615384615385,26,2.19965032186062,14,22
"exp2_batch2","raw","20 squares",8,16.4705882352941,34,2.51342208007025,14,26
"exp2_batch2","raw","20 squares",9,17.8666666666667,45,3.95198454174378,14,30
"exp2_batch2","raw","20 squares",10,18.7213114754098,61,3.96287415706069,14,32
"exp2_batch2","raw","20 squares",11,18.3768115942029,69,3.76946496935012,14,29
"exp2_batch2","raw","20 squares",12,18.4782608695652,92,4.45114693422946,14,34
"exp2_batch2","raw","20 squares",13,19.4615384615385,91,4.52967423971622,14,30
"exp2_batch2","raw","20 squares",14,19.7672413793103,116,4.85862345619163,14,36
"exp2_batch2","raw","20 squares",15,20.1102362204724,127,4.54296656182414,14,36
"exp2_batch2","raw","20 squares",16,21.4962962962963,135,5.53398465666558,14,35
"exp2_batch2","raw","20 squares",17,21.431654676259,139,4.9666282846181,14,34
"exp2_batch2","raw","20 squares",18,21.8534482758621,116,5.03769151815432,14,34
"exp2_batch2","raw","20 squares",19,23.4028776978417,139,5.53869055897892,14,36
"exp2_batch2","raw","20 squares",20,23.2179487179487,156,4.77263012873827,14,35
"exp2_batch2","raw","20 squares",21,24.2953020134228,149,5.55501156213638,14,36
"exp2_batch2","raw","20 squares",22,25.0263157894737,152,5.29769082323204,14,36
"exp2_batch2","raw","20 squares",23,25.8609271523179,151,5.7026774239233,14,36
"exp2_batch2","raw","20 squares",24,26.5611510791367,139,5.16554233850839,14,36
"exp2_batch2","raw","20 squares",25,27.0652173913043,138,5.71871881131666,14,36
"exp2_batch2","raw","20 squares",26,27.5461538461538,130,5.45469222440365,14,36
"exp2_batch2","raw","20 squares",27,28.9758064516129,124,4.71886666439949,14,36
"exp2_batch2","raw","20 squares",28,29.1775700934579,107,4.79349615214267,17,36
"exp2_batch2","raw","20 squares",29,29.3174603174603,126,4.57934631780702,14,36
"exp2_batch2","raw","20 squares",30,30.3301886792453,106,4.51393967534265,18,36
