"experiment","zone","level","n_trials","sd_report","bias"
"exp2_batch2","high (>= 32)","2 squares",723,6.06315855355993,-4.33471645919779
"exp2_batch2","high (>= 32)","10 squares",687,6.20973779279195,-3.14264919941776
"exp2_batch2","high (>= 32)","20 squares",697,6.30419435701439,-4.34433285509326
"exp2_batch2","low (<= 17)","2 squares",511,4.42824838403182,-1.7573385518591
"exp2_batch2","low (<= 17)","10 squares",541,5.24086944601361,1.51386321626617
"exp2_batch2","low (<= 17)","20 squares",546,5.23213894200316,-0.967032967032967
"exp2_batch2","middle","2 squares",1962,5.26343465118608,-3.30020387359837
"exp2_batch2","middle","10 squares",1986,5.76970726498908,-1.11430010070493
"exp2_batch2","middle","20 squares",1956,5.93175495449895,-2.62474437627812
