"side","cluster","mean_exaggeration","se","n_participants","n_trials","mean_rating","mean_objective"
"high","1-4 faces",8.14377358616499,0.710502067804651,48,336,145.309523809524,135.50893452381
"high","5-8 faces",12.2878921156736,0.567847213026272,47,370,145.008108108108,131.751183783784
"high","9-12 faces",12.520204003978,0.613275605921729,50,338,145.292899408284,131.367517751479
"low","1-4 faces",3.91128585530631,0.701615002443664,44,176,105.3125,110.420488636364
"low","5-8 faces",10.3617663898117,0.879349359190425,43,142,105.30985915493,116.826485915493
"low","9-12 faces",11.1907282091097,0.724412388602929,46,132,105.340909090909,116.897742424242
