"experiment","condition","array_length","band","n","dist","se","inward"
"exp3","average","2","extreme",46,8.41940522381467,0.343946102792086,1.42269218868357
"exp3","average","2","middle",46,2.83177153846361,0.301521043641197,1.1078192038365
"exp3","average","10","extreme",46,8.09681935555643,0.363554592602922,2.42634333516462
"exp3","average","10","middle",46,2.5318491800301,0.300937446107093,1.30177105745991
"exp3","average","20","extreme",46,8.14338248084452,0.317685062457675,1.72297610604232
"exp3","average","20","middle",46,2.5106517560613,0.337431083455946,0.338094768466454
"exp3","experience","2","extreme",38,8.28568264989062,0.39685883443076,0.880340822024462
"exp3","experience","2","middle",38,2.7201702473122,0.339040983621669,0.625309996794435
"exp3","experience","10","extreme",38,8.27727347103182,0.399338247710541,1.55713248723739
"exp3","experience","10","middle",38,2.49698300619281,0.211532367843658,0.309447772593854
"exp3","experience","20","extreme",38,8.27496162734968,0.41811398782059,0.731955990639997
"exp3","experience","20","middle",38,2.51441209187,0.335132032882931,0.184560241100489
