"bucket","bucket_label","array_length","condition","value","n_trials","direction"
16,"15-17","2","experience",13.2700729927007,137,"forward"
16,"15-17","10","average",16.6534090909091,176,"forward"
16,"15-17","10","experience",16.2443181818182,176,"forward"
16,"15-17","20","average",17.0327868852459,183,"forward"
16,"15-17","20","experience",16.8765432098765,162,"forward"
19,"18-20","2","average",15.685393258427,178,"forward"
19,"18-20","2","experience",15.5,146,"forward"
19,"18-20","10","average",19.0364583333333,192,"forward"
19,"18-20","10","experience",18.7852348993289,149,"forward"
19,"18-20","20","average",18.9671361502347,213,"forward"
19,"18-20","20","experience",19.046357615894,151,"forward"
22,"21-23","2","average",18.7018633540373,161,"forward"
22,"21-23","2","experience",18.3544973544974,189,"forward"
22,"21-23","10","average",21.0693641618497,173,"forward"
22,"21-23","10","experience",21.6267605633803,142,"forward"
22,"21-23","20","average",20.6909090909091,165,"forward"
22,"21-23","20","experience",21.255033557047,149,"forward"
25,"24-26","2","average",20.7475247524752,202,"forward"
25,"24-26","2","experience",20.6626506024096,166,"forward"
25,"24-26","10","average",22.6153846153846,195,"forward"
25,"24-26","10","experience",24.0613496932515,163,"forward"
25,"24-26","20","average",24.1827956989247,186,"forward"
25,"24-26","20","experience",23.8265895953757,173,"forward"
28,"27-29","2","average",24.0738636363636,176,"forward"
28,"27-29","2","experience",23.3868613138686,137,"forward"
28,"27-29","10","average",25.4341463414634,205,"forward"
28,"27-29","10","experience",26.7852348993289,149,"forward"
28,"27-29","20","average",26.0625,176,"forward"
28,"27-29","20","experience",28.1118421052632,152,"forward"
31,"30-32","2","average",25.6739130434783,184,"forward"
31,"30-32","2","experience",26.9444444444444,162,"forward"
31,"30-32","10","average",26.6722222222222,180,"forward"
31,"30-32","10","experience",28.4965517241379,145,"forward"
31,"30-32","20","average",27.172619047619,168,"forward"
31,"30-32","20","experience",30.1567164179104,134,"forward"
34,"33-35","2","average",28.5970149253731,201,"forward"
34,"33-35","2","experience",28.6969696969697,132,"forward"
34,"33-35","10","average",30.1161290322581,155,"forward"
34,"33-35","10","experience",31.1870503597122,139,"forward"
34,"33-35","20","average",29.0566037735849,106,"forward"
34,"33-35","20","experience",33.1195652173913,92,"forward"
37,"36-38","2","average",29.9354838709677,62,"forward"
37,"36-38","2","experience",30.6578947368421,38,"forward"
37,"36-38","10","average",30.8333333333333,60,"forward"
37,"36-38","10","experience",31.9402985074627,67,"forward"
