"experiment","condition","array_length","n","mean_z","se_z","mean_r","ci_low_r","ci_high_r"
"exp3","average","2",46,1.13785609380077,0.0446674563040243,0.813690915327565,0.781926025807645,0.841241126514929
"exp3","average","10",46,0.920733865481704,0.0437763011244162,0.72624440184626,0.683115544119201,0.764325230501419
"exp3","average","20",46,0.984510582741349,0.0490274229356967,0.755011875689253,0.71061089499289,0.793423097141101
"exp3","experience","2",38,1.09754783221901,0.0490857320552244,0.79961646922173,0.762156262583104,0.831740080512115
"exp3","experience","10",38,1.09875291175478,0.0596984054620227,0.80005061861635,0.753819893073913,0.83839952643228
"exp3","experience","20",38,1.10505507725894,0.0499659005347624,0.802307478687451,0.764568990528833,0.834563812983713
