"experiment","condition","array_length","n","se","signed_err"
"exp3","average","2",46,0.416528158810614,-4.06275596533707
"exp3","average","10",46,0.459242768444665,-1.91534726416103
"exp3","average","20",46,0.496427210350646,-1.7299098276501
"exp3","experience","2",38,0.571604436366507,-4.24465693608801
"exp3","experience","10",38,0.517976092431567,-1.07753034266803
"exp3","experience","20",38,0.529633318920144,-1.13119211584769
