"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.631a9f635762d2b83a53202b","average","2",2,11,9,-5.18181818181818,4.44444444444444,-0.368686868686869
"average.631a9f635762d2b83a53202b","average","10",2,15,4,-3.2,2.7,-0.249999999999999
"average.631a9f635762d2b83a53202b","average","20",2,9,7,-2.72222222222222,5.21428571428571,1.24603174603175
"average.63b82398bbe6a599972413ad","average","2",2,8,8,-4.875,0.75,-2.0625
"average.63b82398bbe6a599972413ad","average","10",2,13,12,-0.276923076923076,0.950000000000002,0.336538461538463
"average.63b82398bbe6a599972413ad","average","20",2,9,5,1.5,1.9,1.7
"average.63dab0380b8791f9560fd329","average","2",2,9,12,-1.77777777777778,12.0833333333333,5.15277777777778
"average.63dab0380b8791f9560fd329","average","10",2,10,11,1.1,10.8363636363636,5.96818181818182
"average.63dab0380b8791f9560fd329","average","20",2,12,7,1.08333333333333,8.92857142857143,5.00595238095238
"average.64509bfcd8d8b7e61f801e95","average","2",2,9,9,1.44444444444444,2.77777777777778,2.11111111111111
"average.64509bfcd8d8b7e61f801e95","average","10",2,6,8,2.13333333333333,4.2,3.16666666666667
"average.64509bfcd8d8b7e61f801e95","average","20",2,15,6,1.96666666666667,1.16666666666667,1.56666666666667
"average.64a6e31ef9a471c4f100c91f","average","2",2,7,9,-3.57142857142857,10.4444444444444,3.43650793650794
"average.64a6e31ef9a471c4f100c91f","average","10",2,9,7,-1.53333333333333,13.3428571428571,5.90476190476191
"average.64a6e31ef9a471c4f100c91f","average","20",2,7,5,0.357142857142857,9.7,5.02857142857143
"average.650b695bf3b3d34f9c461926","average","2",2,9,8,-2.22222222222222,6.125,1.95138888888889
"average.650b695bf3b3d34f9c461926","average","10",2,7,9,1.65714285714286,5.42222222222222,3.53968253968254
"average.650b695bf3b3d34f9c461926","average","20",2,8,9,1.5,6.16666666666667,3.83333333333333
"average.6544fd4daeb0e81889e217f7","average","2",2,5,12,-6.4,6.83333333333333,0.216666666666667
"average.6544fd4daeb0e81889e217f7","average","10",2,8,6,-0.0749999999999993,1.7,0.812500000000002
"average.6544fd4daeb0e81889e217f7","average","20",2,8,6,1,1.66666666666667,1.33333333333333
"average.656c1adbdb298e7230d7b396","average","2",2,7,8,-3.42857142857143,2.125,-0.651785714285714
"average.656c1adbdb298e7230d7b396","average","10",2,8,11,-0.949999999999999,0.836363636363638,-0.0568181818181804
"average.656c1adbdb298e7230d7b396","average","20",2,6,9,4.83333333333333,6.16666666666667,5.5
"average.65fa95fafeda35caf378b6f9","average","2",2,7,9,-2,2.22222222222222,0.111111111111111
"average.65fa95fafeda35caf378b6f9","average","10",2,8,5,3.05,-1.4,0.825000000000001
"average.65fa95fafeda35caf378b6f9","average","20",2,13,7,1.65384615384615,-4.21428571428571,-1.28021978021978
"average.6631a9caa7ecf621ae2ad49f","average","2",2,7,7,2.42857142857143,5.85714285714286,4.14285714285714
"average.6631a9caa7ecf621ae2ad49f","average","10",2,10,9,3.2,-0.355555555555553,1.42222222222222
"average.6631a9caa7ecf621ae2ad49f","average","20",2,8,7,6.25,-2.5,1.875
"average.66450101a6a8f52f8b5db596","average","2",2,8,6,-5.125,2,-1.5625
"average.66450101a6a8f52f8b5db596","average","10",2,13,5,0.338461538461539,2.2,1.26923076923077
"average.66450101a6a8f52f8b5db596","average","20",2,18,5,-0.277777777777778,0.1,-0.088888888888889
"average.66463e4efb99fba5a67a010a","average","2",2,5,12,-4.8,0.5,-2.15
"average.66463e4efb99fba5a67a010a","average","10",2,9,6,3.91111111111111,-1.96666666666667,0.972222222222223
"average.66463e4efb99fba5a67a010a","average","20",2,13,5,2.03846153846154,0.3,1.16923076923077
"average.66707f3a4435f4e05d0940a1","average","2",2,11,6,-3.90909090909091,4.5,0.295454545454545
"average.66707f3a4435f4e05d0940a1","average","10",2,10,10,0.400000000000001,4.7,2.55
"average.66707f3a4435f4e05d0940a1","average","20",2,10,4,1.3,0.5,0.9
"average.66a02d45a7db35d93c9f6a81","average","2",2,11,9,-1.27272727272727,11,4.86363636363636
"average.66a02d45a7db35d93c9f6a81","average","10",2,7,10,-1.2,8.7,3.75
"average.66a02d45a7db35d93c9f6a81","average","20",2,11,5,0.863636363636364,11.7,6.28181818181818
"average.66c3366a3b5834b89124e85a","average","2",2,5,9,-0.6,7.66666666666667,3.53333333333333
"average.66c3366a3b5834b89124e85a","average","10",2,6,8,-3.2,4.7,0.750000000000001
"average.66c3366a3b5834b89124e85a","average","20",2,13,8,-3.11538461538462,6.5,1.69230769230769
"average.66ca18ce20c4af7baa912758","average","2",2,6,10,1.66666666666667,6.7,4.18333333333333
"average.66ca18ce20c4af7baa912758","average","10",2,3,18,2.46666666666667,3.42222222222222,2.94444444444445
"average.66ca18ce20c4af7baa912758","average","20",2,12,6,1.33333333333333,3.83333333333333,2.58333333333333
"average.66dcc0e54f44ccecf2730c76","average","2",2,13,9,0.307692307692308,5.44444444444444,2.87606837606838
"average.66dcc0e54f44ccecf2730c76","average","10",2,6,7,1.3,5.34285714285714,3.32142857142857
"average.66dcc0e54f44ccecf2730c76","average","20",2,13,3,-0.576923076923077,3.16666666666667,1.29487179487179
"average.671f12c5d2543b67c0f12e57","average","2",2,10,9,-4,6,1
"average.671f12c5d2543b67c0f12e57","average","10",2,8,6,-1.075,6.7,2.8125
"average.671f12c5d2543b67c0f12e57","average","20",2,14,5,0.214285714285714,5.9,3.05714285714286
"average.67620128f5496ea07672039c","average","2",2,10,6,1.2,5.66666666666667,3.43333333333333
"average.67620128f5496ea07672039c","average","10",2,7,10,-4.62857142857143,3.1,-0.764285714285713
"average.67620128f5496ea07672039c","average","20",2,12,4,-2.91666666666667,3.5,0.291666666666667
"average.6766deef2e4e127d7fc3c293","average","2",2,7,5,-8.28571428571429,9.4,0.557142857142857
"average.6766deef2e4e127d7fc3c293","average","10",2,8,4,-4.95,9.2,2.125
"average.6766deef2e4e127d7fc3c293","average","20",2,13,9,-1.19230769230769,7.27777777777778,3.04273504273504
"average.676e13e5655cf7cc40923c54","average","2",2,11,8,-2.72727272727273,3.75,0.511363636363636
"average.676e13e5655cf7cc40923c54","average","10",2,6,9,1.63333333333333,2.42222222222222,2.02777777777778
"average.676e13e5655cf7cc40923c54","average","20",2,11,5,1.13636363636364,2.9,2.01818181818182
"average.6784912ccf5664bd1c08be9f","average","2",2,6,9,0.666666666666667,0.444444444444444,0.555555555555556
"average.6784912ccf5664bd1c08be9f","average","10",2,5,12,3,4.78333333333333,3.89166666666667
"average.6784912ccf5664bd1c08be9f","average","20",2,11,6,4.95454545454546,3.83333333333333,4.39393939393939
"average.678f0bb28ec3307e4f1afb78","average","2",2,9,4,1,7,4
"average.678f0bb28ec3307e4f1afb78","average","10",2,6,7,1.63333333333333,4.34285714285715,2.98809523809524
"average.678f0bb28ec3307e4f1afb78","average","20",2,12,6,1.08333333333333,4,2.54166666666667
"average.67e8e0c0be5802df7311d109","average","2",2,6,8,-4.83333333333333,8.875,2.02083333333333
"average.67e8e0c0be5802df7311d109","average","10",2,5,9,0.600000000000001,10.5333333333333,5.56666666666667
"average.67e8e0c0be5802df7311d109","average","20",2,11,9,3.04545454545455,8.05555555555556,5.55050505050505
"average.67eec9e200be02ad51843d9b","average","2",2,7,10,-3.14285714285714,1.2,-0.971428571428571
"average.67eec9e200be02ad51843d9b","average","10",2,12,11,2.3,1.47272727272727,1.88636363636364
"average.67eec9e200be02ad51843d9b","average","20",2,15,6,0.833333333333333,3.33333333333333,2.08333333333333
"average.67f15a6eb321af2595c63b9b","average","2",2,3,10,-5.33333333333333,2.1,-1.61666666666667
"average.67f15a6eb321af2595c63b9b","average","10",2,11,6,-2.47272727272727,2.36666666666667,-0.0530303030303021
"average.67f15a6eb321af2595c63b9b","average","20",2,15,5,-2.03333333333333,0.3,-0.866666666666667
"average.682b8071ffc2da7edd49f10c","average","2",2,10,8,-1.8,6.5,2.35
"average.682b8071ffc2da7edd49f10c","average","10",2,15,3,1.4,12.2,6.8
"average.682b8071ffc2da7edd49f10c","average","20",2,13,10,0.423076923076923,5,2.71153846153846
"experience.583ec287ad2f4300014b355a","experience","2",2,6,11,-6.16666666666667,12.9090909090909,3.37121212121212
"experience.583ec287ad2f4300014b355a","experience","10",2,10,5,-1.1,14.4,6.65
"experience.583ec287ad2f4300014b355a","experience","20",2,11,5,-1.13636363636364,7.3,3.08181818181818
"experience.58a1fe40ea3d11000170d9b9","experience","2",2,6,9,1.83333333333333,6.33333333333333,4.08333333333333
"experience.58a1fe40ea3d11000170d9b9","experience","10",2,7,11,3.94285714285714,4.2,4.07142857142857
"experience.58a1fe40ea3d11000170d9b9","experience","20",2,11,8,3.68181818181818,3.625,3.65340909090909
"experience.59296fb2e8a7ff000163f033","experience","2",2,7,4,-4,11.75,3.875
"experience.59296fb2e8a7ff000163f033","experience","10",2,12,7,-1.78333333333333,6.91428571428572,2.56547619047619
"experience.59296fb2e8a7ff000163f033","experience","20",2,12,7,0.25,6.64285714285714,3.44642857142857
"experience.5c2fcd716ea6880001dc8e3d","experience","2",2,4,7,-7,9,1
"experience.5c2fcd716ea6880001dc8e3d","experience","10",2,15,8,1.33333333333333,6.7,4.01666666666667
"experience.5c2fcd716ea6880001dc8e3d","experience","20",2,15,2,1.9,9.5,5.7
"experience.5c4a4b329ba9e00001ffc4f3","experience","2",2,9,8,-1.11111111111111,10.125,4.50694444444444
"experience.5c4a4b329ba9e00001ffc4f3","experience","10",2,10,9,-2.6,1.42222222222222,-0.588888888888888
"experience.5c4a4b329ba9e00001ffc4f3","experience","20",2,12,8,2.33333333333333,-1.375,0.479166666666667
"experience.5caf7f17a85c43001737b4b3","experience","2",2,5,10,-7.6,6.6,-0.5
"experience.5caf7f17a85c43001737b4b3","experience","10",2,9,7,4.91111111111111,5.77142857142857,5.34126984126984
"experience.5caf7f17a85c43001737b4b3","experience","20",2,12,2,-4.41666666666667,11,3.29166666666667
"experience.5d17ce93ac37cd0019535088","experience","2",2,7,5,1.28571428571429,4.6,2.94285714285714
"experience.5d17ce93ac37cd0019535088","experience","10",2,6,13,5.8,-3.10769230769231,1.34615384615385
"experience.5d17ce93ac37cd0019535088","experience","20",2,13,6,7.80769230769231,-3.33333333333333,2.23717948717949
"experience.5d6eea19b26c1100010cb6f3","experience","2",2,6,12,-2.83333333333333,2.66666666666667,-0.083333333333333
"experience.5d6eea19b26c1100010cb6f3","experience","10",2,13,11,-2.66153846153846,0.10909090909091,-1.27622377622378
"experience.5d6eea19b26c1100010cb6f3","experience","20",2,7,7,-2.07142857142857,-1.78571428571429,-1.92857142857143
"experience.5d88db42c1d06e001a1fdcab","experience","2",2,7,5,-7.14285714285714,10.2,1.52857142857143
"experience.5d88db42c1d06e001a1fdcab","experience","10",2,16,3,-4.7,9.2,2.25
"experience.5d88db42c1d06e001a1fdcab","experience","20",2,13,5,-2.65384615384615,7.7,2.52307692307692
"experience.5d982c7ef65bb80019cc6731","experience","2",2,5,9,-6.8,3.33333333333333,-1.73333333333333
"experience.5d982c7ef65bb80019cc6731","experience","10",2,6,9,-3.2,0.08888888888889,-1.55555555555555
"experience.5d982c7ef65bb80019cc6731","experience","20",2,13,9,-0.884615384615384,-4.16666666666667,-2.52564102564103
"experience.5e84bd7c34d5d9072128fac1","experience","2",2,8,11,0,4.72727272727273,2.36363636363636
"experience.5e84bd7c34d5d9072128fac1","experience","10",2,6,12,2.63333333333333,3.7,3.16666666666667
"experience.5e84bd7c34d5d9072128fac1","experience","20",2,12,5,1.41666666666667,4.1,2.75833333333333
"experience.5e8a1827052175000938eb91","experience","2",2,7,7,-0.714285714285714,14.5714285714286,6.92857142857143
"experience.5e8a1827052175000938eb91","experience","10",2,8,12,0.675000000000001,8.53333333333333,4.60416666666667
"experience.5e8a1827052175000938eb91","experience","20",2,9,8,1.61111111111111,10.75,6.18055555555556
"experience.5ee92b925f0f482bb1e73668","experience","2",2,8,5,1.75,2.8,2.275
"experience.5ee92b925f0f482bb1e73668","experience","10",2,7,6,2.65714285714286,1.86666666666667,2.26190476190476
"experience.5ee92b925f0f482bb1e73668","experience","20",2,11,6,2.95454545454545,0.666666666666667,1.81060606060606
"experience.5ef4d8b87faaa00c0dea0c4e","experience","2",2,11,6,-2.09090909090909,3.16666666666667,0.537878787878788
"experience.5ef4d8b87faaa00c0dea0c4e","experience","10",2,4,13,-2.95,5.12307692307693,1.08653846153846
"experience.5ef4d8b87faaa00c0dea0c4e","experience","20",2,10,5,-0.6,3.3,1.35
"experience.60a2a8570a0f9cc00d6b9d1a","experience","2",2,9,9,9.88888888888889,-6.44444444444444,1.72222222222222
"experience.60a2a8570a0f9cc00d6b9d1a","experience","10",2,5,12,6,-4.38333333333333,0.808333333333335
"experience.60a2a8570a0f9cc00d6b9d1a","experience","20",2,12,5,6.58333333333333,-2.3,2.14166666666667
"experience.60bd80a54df9675c7f842774","experience","2",2,8,10,-6.625,6.2,-0.2125
"experience.60bd80a54df9675c7f842774","experience","10",2,9,9,-4.31111111111111,6.08888888888889,0.88888888888889
"experience.60bd80a54df9675c7f842774","experience","20",2,11,6,-4.5,2.83333333333333,-0.833333333333333
"experience.612517df29cd32c6632b4a44","experience","2",2,15,4,-7.66666666666667,2.5,-2.58333333333333
"experience.612517df29cd32c6632b4a44","experience","10",2,7,9,-3.77142857142857,-2.24444444444444,-3.00793650793651
"experience.612517df29cd32c6632b4a44","experience","20",2,10,7,-2.2,-2.78571428571429,-2.49285714285714
"experience.615dd5ed4fd5b2c64eee7e99","experience","2",2,7,9,-1.57142857142857,0.111111111111111,-0.73015873015873
"experience.615dd5ed4fd5b2c64eee7e99","experience","10",2,8,8,-2.45,-0.799999999999997,-1.625
"experience.615dd5ed4fd5b2c64eee7e99","experience","20",2,11,9,-3.22727272727273,-2.16666666666667,-2.6969696969697
"experience.62b146e365eca239ef0dbbfb","experience","2",2,13,6,-4.30769230769231,8.5,2.09615384615385
"experience.62b146e365eca239ef0dbbfb","experience","10",2,8,13,-0.199999999999999,8.89230769230769,4.34615384615385
"experience.62b146e365eca239ef0dbbfb","experience","20",2,11,4,2.86363636363636,1,1.93181818181818
"experience.641dfbd1cf0e57384c37a037","experience","2",2,8,7,-3.75,9.28571428571429,2.76785714285714
"experience.641dfbd1cf0e57384c37a037","experience","10",2,6,11,-0.699999999999999,7.10909090909091,3.20454545454546
"experience.641dfbd1cf0e57384c37a037","experience","20",2,12,4,-3.75,-1.75,-2.75
"experience.64f9db6943940e98c173b596","experience","2",2,5,8,-9.4,1.75,-3.825
"experience.64f9db6943940e98c173b596","experience","10",2,6,7,3.63333333333333,0.62857142857143,2.13095238095238
"experience.64f9db6943940e98c173b596","experience","20",2,10,6,-4.5,1.16666666666667,-1.66666666666667
"experience.65465ac216a26bebcc8d8b02","experience","2",2,9,8,-1.11111111111111,2,0.444444444444444
"experience.65465ac216a26bebcc8d8b02","experience","10",2,9,12,2.46666666666667,0.783333333333335,1.625
"experience.65465ac216a26bebcc8d8b02","experience","20",2,6,7,-1.33333333333333,-0.5,-0.916666666666667
"experience.656a02c7b6729e5b80412a8f","experience","2",2,5,9,-0.2,4.66666666666667,2.23333333333333
"experience.656a02c7b6729e5b80412a8f","experience","10",2,9,10,1.68888888888889,2.6,2.14444444444445
"experience.656a02c7b6729e5b80412a8f","experience","20",2,13,7,2.03846153846154,-1.35714285714286,0.340659340659341
"experience.657f8d99678be2d216a85c3d","experience","2",2,8,4,-3.5,4,0.25
"experience.657f8d99678be2d216a85c3d","experience","10",2,9,12,-2.64444444444444,4.95,1.15277777777778
"experience.657f8d99678be2d216a85c3d","experience","20",2,9,6,-0.611111111111111,6.16666666666667,2.77777777777778
"experience.65fb1a5882c2d4825dab5e81","experience","2",2,4,5,-2.25,-0.2,-1.225
"experience.65fb1a5882c2d4825dab5e81","experience","10",2,6,11,0.633333333333334,4.01818181818182,2.32575757575758
"experience.65fb1a5882c2d4825dab5e81","experience","20",2,13,3,0.115384615384615,1.16666666666667,0.641025641025641
"experience.6643b0fe98e091c70e7988e4","experience","2",2,7,11,-1.42857142857143,1.09090909090909,-0.168831168831169
"experience.6643b0fe98e091c70e7988e4","experience","10",2,6,9,1.3,-0.466666666666664,0.416666666666668
"experience.6643b0fe98e091c70e7988e4","experience","20",2,7,10,5.5,0.8,3.15
"experience.66562875b665d8e2b1b6fc66","experience","2",2,10,8,-2.4,3.125,0.3625
"experience.66562875b665d8e2b1b6fc66","experience","10",2,8,7,2.05,2.62857142857143,2.33928571428572
"experience.66562875b665d8e2b1b6fc66","experience","20",2,10,7,2.2,1.21428571428571,1.70714285714286
"experience.6667a6558073abc1cd0e6daf","experience","2",2,8,7,1,1.14285714285714,1.07142857142857
"experience.6667a6558073abc1cd0e6daf","experience","10",2,7,6,2.94285714285714,-3.8,-0.428571428571427
"experience.6667a6558073abc1cd0e6daf","experience","20",2,13,6,2.26923076923077,-8.83333333333333,-3.28205128205128
"experience.668ebf594982c57c983cd910","experience","2",2,10,4,-5.2,7.75,1.275
"experience.668ebf594982c57c983cd910","experience","10",2,9,11,-3.53333333333333,6.56363636363637,1.51515151515152
"experience.668ebf594982c57c983cd910","experience","20",2,10,9,-1.8,3.27777777777778,0.738888888888889
"experience.66a6bbb40b48d0e4f326767e","experience","2",2,10,7,0.3,2.14285714285714,1.22142857142857
"experience.66a6bbb40b48d0e4f326767e","experience","10",2,9,11,4.13333333333333,-0.981818181818179,1.57575757575758
"experience.66a6bbb40b48d0e4f326767e","experience","20",2,13,5,2.11538461538462,-4.7,-1.29230769230769
"experience.66a926551ab3748f5d5348aa","experience","2",2,6,4,-4.5,10.75,3.125
"experience.66a926551ab3748f5d5348aa","experience","10",2,6,10,1.46666666666667,7.7,4.58333333333333
"experience.66a926551ab3748f5d5348aa","experience","20",2,12,4,2.25,4.25,3.25
"experience.66d804534578af1dec99f245","experience","2",2,9,5,-5.66666666666667,7.6,0.966666666666666
"experience.66d804534578af1dec99f245","experience","10",2,10,5,-4.4,5.2,0.400000000000001
"experience.66d804534578af1dec99f245","experience","20",2,12,7,-1.5,2.92857142857143,0.714285714285714
"experience.66e5312010b7e7f8074c81a7","experience","2",2,5,7,-5,2.14285714285714,-1.42857142857143
"experience.66e5312010b7e7f8074c81a7","experience","10",2,7,8,5.37142857142857,1.325,3.34821428571429
"experience.66e5312010b7e7f8074c81a7","experience","20",2,11,6,3.68181818181818,-7,-1.65909090909091
"experience.67164c92298409e37c670b3d","experience","2",2,8,10,-9.75,0.3,-4.725
"experience.67164c92298409e37c670b3d","experience","10",2,9,3,-4.75555555555555,-0.8,-2.77777777777778
"experience.67164c92298409e37c670b3d","experience","20",2,8,4,-9,-1.25,-5.125
"experience.672268205351c30413c9837e","experience","2",2,10,8,-4.3,8.375,2.0375
"experience.672268205351c30413c9837e","experience","10",2,8,10,-2.2,4,0.900000000000002
"experience.672268205351c30413c9837e","experience","20",2,13,8,-2.5,6.25,1.875
"experience.67322550bd5dfa0cd2958366","experience","2",2,7,8,-0.285714285714286,-0.125,-0.205357142857143
"experience.67322550bd5dfa0cd2958366","experience","10",2,7,10,2.37142857142857,-0.399999999999999,0.985714285714286
"experience.67322550bd5dfa0cd2958366","experience","20",2,11,2,3.13636363636364,-2,0.568181818181818
"experience.67f054713cbdd6e7fdab28d4","experience","2",2,6,9,1.33333333333333,2.88888888888889,2.11111111111111
"experience.67f054713cbdd6e7fdab28d4","experience","10",2,9,9,5.46666666666667,-1.13333333333333,2.16666666666667
"experience.67f054713cbdd6e7fdab28d4","experience","20",2,7,7,8.21428571428571,-1.78571428571429,3.21428571428571
"experience.68423451060859f8ce31ee5a","experience","2",2,8,3,-0.875,3.33333333333333,1.22916666666667
"experience.68423451060859f8ce31ee5a","experience","10",2,6,12,-3.36666666666667,8.36666666666667,2.5
"experience.68423451060859f8ce31ee5a","experience","20",2,9,4,2.72222222222222,8.25,5.48611111111111
