"experiment","condition","term","b","SE","df","t","p"
"exp3","experience","(Intercept)",22.4089986666142,0.509212362102573,37.0303493836847,44.0071772297237,1.40669699143711e-33
"exp3","experience","meanVal_c",0.856503496715509,0.0400283292548779,36.8589525840774,21.3974330844981,2.22203319118283e-22
"exp3","experience","array_length1",-1.98674308500746,0.111665641338345,3433.00564838765,-17.7918924854214,8.28060004154316e-68
"exp3","experience","array_length2",0.744521373112683,0.111715229625678,3435.07940959219,6.66445725983233,3.08236486808798e-11
"exp3","experience","meanVal_c:array_length1",0.0235092304711755,0.0173226188068745,3434.45210725924,1.35714066869877,0.174825697996168
"exp3","experience","meanVal_c:array_length2",-0.0543719187804155,0.016948452709363,3434.53012159516,-3.20807566996238,0.00134854755028838
"exp3","average","(Intercept)",21.8813310236097,0.382475220279042,45.0904947305319,57.2098004352954,9.72540774852796e-44
"exp3","average","meanVal_c",0.755656906692255,0.0335941283487853,45.0917047830299,22.4937197014542,3.80691042196321e-26
"exp3","average","array_length1",-1.3887285328562,0.0969962693910023,4114.55430797246,-14.3173396417762,2.06831219067546e-45
"exp3","average","array_length2",0.679261545421003,0.0971841987866547,4117.86015826355,6.9894237324749,3.2055761531608e-12
"exp3","average","meanVal_c:array_length1",0.0692317746095799,0.0146177044704567,4115.20746013743,4.73615913835866,2.25143350205633e-06
"exp3","average","meanVal_c:array_length2",-0.0547829430006214,0.0149087577376307,4121.85119689838,-3.67454780369431,0.000241299809233587
