"experiment","window","array_length","emmean","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp3","low","2",18.3249823667883,0.271238563749258,203.466282925309,17.7901835278522,18.8597812057244,67.5603871126841,2.50730944539902e-141
"exp3","low","10",17.7666042361814,0.350360297652657,358.179324183764,17.0775824588082,18.4556260135545,50.7095248954121,1.56771284458658e-165
"exp3","low","20",16.0089875204672,0.315450285344117,294.599475303871,15.3881658587695,16.6298091821648,50.7496371512341,1.14720566440903e-147
