"experiment","condition","array_length","n","mean_prop","se"
"exp3","average","2",46,0.145128537401806,0.0125301510136455
"exp3","average","10",46,0.0879938674096132,0.00997511092042334
"exp3","average","20",46,0.126535067867224,0.0118265950217919
"exp3","experience","2",38,0.146963214720152,0.0152701288778101
"exp3","experience","10",38,0.124693303057421,0.0134134446896289
"exp3","experience","20",38,0.139860923512898,0.0166336666752192
