"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"experience.6941735b3d4f8229158290ea","experience","2",31,18,4,0.129032258064516
"experience.6941735b3d4f8229158290ea","experience","10",32,13,1,0.03125
"experience.6941735b3d4f8229158290ea","experience","20",30,14,4,0.133333333333333
"experience.694179d88301c400c4bbdb4d","experience","2",32,13,7,0.21875
"experience.694179d88301c400c4bbdb4d","experience","10",32,19,8,0.25
"experience.694179d88301c400c4bbdb4d","experience","20",31,16,5,0.161290322580645
"experience.6942e378d0c8a15ff6b1f81e","experience","2",30,20,8,0.266666666666667
"experience.6942e378d0c8a15ff6b1f81e","experience","10",32,24,4,0.125
"experience.6942e378d0c8a15ff6b1f81e","experience","20",32,17,5,0.15625
"experience.6945b7f9c69fe2317b25e4a2","experience","2",30,19,10,0.333333333333333
"experience.6945b7f9c69fe2317b25e4a2","experience","10",31,17,7,0.225806451612903
"experience.6945b7f9c69fe2317b25e4a2","experience","20",31,18,6,0.193548387096774
"experience.6957ec3547d1923f4fa00638","experience","2",31,17,7,0.225806451612903
"experience.6957ec3547d1923f4fa00638","experience","10",32,18,4,0.125
"experience.6957ec3547d1923f4fa00638","experience","20",31,15,4,0.129032258064516
"experience.695c8ba574771ee1382bed66","experience","2",32,17,5,0.15625
"experience.695c8ba574771ee1382bed66","experience","10",31,18,3,0.0967741935483871
"experience.695c8ba574771ee1382bed66","experience","20",30,15,4,0.133333333333333
