"experiment","condition","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"short_exposure","experience","meanVal_c",35709.6361753347,35709.6361753347,1,105.735758480544,1609.05249817729,8.56694382767892e-66
"short_exposure","experience","array_length",4348.76211345484,2174.38105672742,2,3312.6547221468,97.976166828976,4.57565303208162e-42
"short_exposure","experience","meanVal_c:array_length",50.9989746914374,25.4994873457187,2,69.0822837216437,1.14898997050575,0.322938543993602
