"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","20",2,6,8,2.33333333333333,-3,-0.333333333333333
"experience.65b98fe25e75b5acc3f44626","experience","2",2,7,4,-6.28571428571429,-3,-4.64285714285714
"experience.65b98fe25e75b5acc3f44626","experience","10",2,12,10,0.25,-2.4,-1.075
"experience.65b98fe25e75b5acc3f44626","experience","20",2,7,10,-4.57142857142857,4.4,-0.0857142857142854
"experience.662a5d4dabae70ece2dfcc21","experience","2",2,9,6,-3.55555555555556,6.66666666666667,1.55555555555556
"experience.662a5d4dabae70ece2dfcc21","experience","10",2,6,9,-1,0.777777777777778,-0.111111111111111
"experience.662a5d4dabae70ece2dfcc21","experience","20",2,8,9,-1.75,1.22222222222222,-0.263888888888889
"experience.662c1b87d84d0f2111bb3a56","experience","2",2,5,15,-3.4,3.26666666666667,-0.0666666666666664
"experience.662c1b87d84d0f2111bb3a56","experience","10",2,10,7,2.8,0.571428571428572,1.68571428571429
"experience.662c1b87d84d0f2111bb3a56","experience","20",2,4,10,4.25,2.1,3.175
"experience.6644cf0a2e641bfd221ac4af","experience","2",2,7,9,-1.14285714285714,4,1.42857142857143
"experience.6644cf0a2e641bfd221ac4af","experience","10",2,8,6,2.125,1.5,1.8125
"experience.6644cf0a2e641bfd221ac4af","experience","20",2,12,9,0.166666666666667,2.33333333333333,1.25
"experience.6674d66310b6684b86ddf7b9","experience","2",2,9,9,0.222222222222222,7.66666666666667,3.94444444444444
"experience.6674d66310b6684b86ddf7b9","experience","10",2,11,6,0.909090909090909,6.33333333333333,3.62121212121212
"experience.6674d66310b6684b86ddf7b9","experience","20",2,3,12,1,9.66666666666667,5.33333333333333
"experience.669aed56568d11bad784de3b","experience","2",2,6,8,5.83333333333333,-1.625,2.10416666666667
"experience.669aed56568d11bad784de3b","experience","10",2,7,10,3.42857142857143,-8.1,-2.33571428571429
"experience.669aed56568d11bad784de3b","experience","20",2,4,11,4.75,-3.54545454545455,0.602272727272727
"experience.66b68e2b2c21a7ed557cf866","experience","2",2,5,11,-7.4,1.63636363636364,-2.88181818181818
"experience.66b68e2b2c21a7ed557cf866","experience","10",2,9,6,0.444444444444444,-3.33333333333333,-1.44444444444444
"experience.66b68e2b2c21a7ed557cf866","experience","20",2,7,8,-0.857142857142857,-0.25,-0.553571428571429
"experience.66d1a34290c0181302a08f66","experience","2",2,8,7,-0.625,3.14285714285714,1.25892857142857
"experience.66d1a34290c0181302a08f66","experience","10",2,7,4,2.14285714285714,-4.5,-1.17857142857143
"experience.66d1a34290c0181302a08f66","experience","20",2,6,9,2.16666666666667,-1.11111111111111,0.527777777777778
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","2",2,9,10,-0.111111111111111,8.8,4.34444444444444
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","10",2,9,4,3.88888888888889,7.25,5.56944444444444
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","20",2,9,7,0.888888888888889,4.71428571428571,2.8015873015873
"experience.676f2ff678d74407b518207d","experience","2",2,7,10,-1.28571428571429,7.7,3.20714285714286
"experience.676f2ff678d74407b518207d","experience","10",2,6,6,5.83333333333333,2.83333333333333,4.33333333333333
"experience.676f2ff678d74407b518207d","experience","20",2,10,8,1.1,3.75,2.425
"experience.6941735b3d4f8229158290ea","experience","2",2,10,8,-2.1,4,0.95
"experience.6941735b3d4f8229158290ea","experience","10",2,8,5,0,5.4,2.7
"experience.6941735b3d4f8229158290ea","experience","20",2,6,8,-2.33333333333333,-0.625,-1.47916666666667
"experience.694179d88301c400c4bbdb4d","experience","2",2,8,5,-3.625,-0.6,-2.1125
"experience.694179d88301c400c4bbdb4d","experience","10",2,11,8,0.545454545454546,-2.625,-1.03977272727273
"experience.694179d88301c400c4bbdb4d","experience","20",2,9,7,-3.44444444444444,-0.571428571428572,-2.00793650793651
"experience.6942e378d0c8a15ff6b1f81e","experience","2",2,15,5,-2.86666666666667,6,1.56666666666667
"experience.6942e378d0c8a15ff6b1f81e","experience","10",2,12,12,-0.583333333333333,2.25,0.833333333333333
"experience.6942e378d0c8a15ff6b1f81e","experience","20",2,11,6,-1.54545454545455,7.16666666666667,2.81060606060606
"experience.6945b7f9c69fe2317b25e4a2","experience","2",2,11,8,2.72727272727273,-2.875,-0.0738636363636362
"experience.6945b7f9c69fe2317b25e4a2","experience","10",2,12,5,5.41666666666667,-1.6,1.90833333333333
"experience.6945b7f9c69fe2317b25e4a2","experience","20",2,8,10,8.75,-2.4,3.175
"experience.6957ec3547d1923f4fa00638","experience","2",2,9,8,-5.33333333333333,0.375,-2.47916666666667
"experience.6957ec3547d1923f4fa00638","experience","10",2,9,9,0.222222222222222,-0.666666666666667,-0.222222222222222
"experience.6957ec3547d1923f4fa00638","experience","20",2,8,7,4,-2.14285714285714,0.928571428571428
"experience.695c8ba574771ee1382bed66","experience","2",2,9,8,-3,5.75,1.375
"experience.695c8ba574771ee1382bed66","experience","10",2,9,9,4.55555555555556,0,2.27777777777778
"experience.695c8ba574771ee1382bed66","experience","20",2,10,5,2.5,1,1.75
