"meanVal","array_length","condition","mean_response","n_trials"
14,"2","average",15.0625,16
14,"2","experience",13.4347826086957,23
14,"6","average",17.5625,16
14,"6","experience",16.5333333333333,15
14,"8","average",14.9473684210526,19
14,"8","experience",16.2777777777778,18
14,"12","average",19.2592592592593,27
14,"12","experience",14.3,20
15,"2","average",13.55,20
15,"2","experience",13.6666666666667,21
15,"6","average",15.55,20
15,"6","experience",15.8888888888889,18
15,"8","average",16.95,20
15,"8","experience",17.8260869565217,23
15,"12","average",19.1,20
15,"12","experience",16.6666666666667,21
16,"2","average",14.4,15
16,"2","experience",13.4666666666667,15
16,"6","average",15.5909090909091,22
16,"6","experience",16.25,28
16,"8","average",16.8888888888889,18
16,"8","experience",14.0526315789474,19
16,"12","average",19,23
16,"12","experience",18.1,10
17,"2","average",16.6666666666667,24
17,"2","experience",16.2,20
17,"6","average",20.6315789473684,19
17,"6","experience",16.8235294117647,17
17,"8","average",18.9565217391304,23
17,"8","experience",18.6470588235294,17
17,"12","average",21.4285714285714,21
17,"12","experience",18.4827586206897,29
18,"2","average",15.2105263157895,19
18,"2","experience",16.08,25
18,"6","average",20.9,30
18,"6","experience",17.9,20
18,"8","average",20.6315789473684,19
18,"8","experience",20.1739130434783,23
18,"12","average",22.5909090909091,22
18,"12","experience",24.0526315789474,19
19,"2","average",16.9565217391304,23
19,"2","experience",17.0434782608696,23
19,"6","average",17.2962962962963,27
19,"6","experience",20.5,28
19,"8","average",19.4545454545455,22
19,"8","experience",23.0625,16
19,"12","average",20.5,16
19,"12","experience",23.2692307692308,26
20,"2","average",17.3333333333333,24
20,"2","experience",17.9090909090909,22
20,"6","average",20.25,16
20,"6","experience",21.6296296296296,27
20,"8","average",21.9655172413793,29
20,"8","experience",19.7727272727273,22
20,"12","average",23.2903225806452,31
20,"12","experience",22.2307692307692,13
21,"2","average",19.3333333333333,24
21,"2","experience",18.1428571428571,28
21,"6","average",20.3333333333333,18
21,"6","experience",20,29
21,"8","average",22.3461538461538,26
21,"8","experience",22.9,20
21,"12","average",22.1363636363636,22
21,"12","experience",22.8181818181818,11
22,"2","average",19.4347826086957,23
22,"2","experience",19.1363636363636,22
22,"6","average",21.3214285714286,28
22,"6","experience",21.3333333333333,15
22,"8","average",22.6153846153846,26
22,"8","experience",24.2173913043478,23
22,"12","average",24.1764705882353,17
22,"12","experience",22.4615384615385,26
23,"2","average",20.6842105263158,19
23,"2","experience",19.5652173913043,23
23,"6","average",23.2758620689655,29
23,"6","experience",20.5,22
23,"8","average",23.64,25
23,"8","experience",21.9047619047619,21
23,"12","average",24.7083333333333,24
23,"12","experience",20.6470588235294,17
24,"2","average",21.2916666666667,24
24,"2","experience",23.1764705882353,17
24,"6","average",23.2380952380952,21
24,"6","experience",22.6666666666667,15
24,"8","average",24.55,20
24,"8","experience",22.4571428571429,35
24,"12","average",26.3333333333333,21
24,"12","experience",26.6666666666667,21
25,"2","average",21.84,25
25,"2","experience",22.3333333333333,18
25,"6","average",24.9166666666667,24
25,"6","experience",23.7058823529412,17
25,"8","average",23.2857142857143,28
25,"8","experience",25.625,16
25,"12","average",26.15,20
25,"12","experience",25,21
26,"2","average",22.1904761904762,21
26,"2","experience",22.2307692307692,13
26,"6","average",26.952380952381,21
26,"6","experience",24.8260869565217,23
26,"8","average",26.7777777777778,18
26,"8","experience",26.421052631579,19
26,"12","average",25.7027027027027,37
26,"12","experience",28.15,20
27,"2","average",23.2,30
27,"2","experience",26.7368421052632,19
27,"6","average",26.45,20
27,"6","experience",27.5333333333333,15
27,"8","average",25.7307692307692,26
27,"8","experience",26.0952380952381,21
27,"12","average",28.5909090909091,22
27,"12","experience",28.9285714285714,28
28,"2","average",26.16,25
28,"2","experience",25.4761904761905,21
28,"6","average",27.3076923076923,26
28,"6","experience",27.5,14
28,"8","average",27.8636363636364,22
28,"8","experience",27,14
28,"12","average",27.1538461538462,13
28,"12","experience",28,26
29,"2","average",29.578947368421,19
29,"2","experience",27.4166666666667,24
29,"6","average",27.3333333333333,21
29,"6","experience",29.2352941176471,17
29,"8","average",27.8571428571429,28
