"experiment","condition","array_length","n","se","signed_err"
"exp1","average","2",23,0.741662657041404,-2.22159724333637
"exp1","average","6",23,0.669023186179969,-0.446945445858489
"exp1","average","8",23,0.690757070768446,0.173456562618967
"exp1","average","12",23,0.816598979699035,1.26179255527082
"exp1","experience","2",21,0.703282517737964,-2.50495179423751
"exp1","experience","6",21,0.723004208579609,-0.836796855494334
"exp1","experience","8",21,0.833899381550071,-0.309456416599274
"exp1","experience","12",21,0.796211015993711,0.915799478299478
