"response_value","array_length","condition","mean_true","n_trials"
1,"6","average",19,1
1,"8","average",17,1
2,"6","average",17,1
2,"12","average",18,2
3,"6","average",16,1
4,"6","experience",17,1
5,"2","average",14,1
5,"6","average",15,1
5,"8","average",17,1
5,"12","average",16,1
6,"2","average",18,4
6,"2","experience",25,1
6,"6","average",21,2
6,"8","experience",19,1
6,"12","average",25.5,2
6,"12","experience",17,1
7,"2","average",22,9
7,"2","experience",15.3333333333333,3
7,"6","average",20.3333333333333,3
7,"6","experience",15,1
7,"8","average",14,2
7,"8","experience",15.3333333333333,3
8,"2","average",14.8333333333333,6
8,"2","experience",16.1666666666667,6
8,"6","experience",17,5
8,"8","average",15,1
8,"8","experience",18,3
8,"12","average",15,1
8,"12","experience",14,1
9,"2","average",17.8888888888889,9
9,"2","experience",15.125,8
9,"6","average",19.75,4
9,"6","experience",16,3
9,"8","average",16.4285714285714,7
9,"8","experience",19.75,8
9,"12","average",24,1
9,"12","experience",17,3
10,"2","average",22.5714285714286,7
10,"2","experience",16,10
10,"6","average",19.4285714285714,7
10,"6","experience",17.4285714285714,7
10,"8","average",19.6666666666667,6
10,"8","experience",21.6666666666667,3
10,"12","average",19.5,2
10,"12","experience",14.6666666666667,6
11,"2","average",18.7857142857143,14
11,"2","experience",19.2727272727273,11
11,"6","average",19.1428571428571,7
11,"6","experience",18.7777777777778,9
11,"8","average",16,2
11,"8","experience",17.3333333333333,6
11,"12","average",16.8333333333333,6
11,"12","experience",17.6666666666667,6
12,"2","average",18.4615384615385,13
12,"2","experience",17.5454545454545,11
12,"6","average",17.6923076923077,13
12,"6","experience",22.75,4
12,"8","average",17.8888888888889,9
12,"8","experience",15.6666666666667,3
12,"12","average",18.4,5
12,"12","experience",16.6,10
13,"2","average",19.4285714285714,14
13,"2","experience",20.2857142857143,7
13,"6","average",18.8571428571429,7
13,"6","experience",17.8571428571429,14
13,"8","average",19.4444444444444,9
13,"8","experience",19.3636363636364,11
13,"12","average",17.6666666666667,6
13,"12","experience",16.5555555555556,9
14,"2","average",19.1666666666667,12
14,"2","experience",19.6363636363636,22
14,"6","average",17.125,8
14,"6","experience",19.7777777777778,9
14,"8","average",20.7777777777778,9
14,"8","experience",18.0714285714286,14
14,"12","average",17,5
14,"12","experience",17.5,6
15,"2","average",21.7727272727273,22
15,"2","experience",19.6666666666667,24
15,"6","average",18.6875,16
15,"6","experience",20.3529411764706,17
15,"8","average",17.1666666666667,12
15,"8","experience",20.0769230769231,13
15,"12","average",17.1111111111111,9
15,"12","experience",17.6,5
16,"2","average",23.0666666666667,15
16,"2","experience",19.4347826086957,23
16,"6","average",22.0909090909091,11
16,"6","experience",19.3,20
16,"8","average",18.9333333333333,15
16,"8","experience",20.5333333333333,15
16,"12","average",16.7,10
16,"12","experience",20.8571428571429,14
17,"2","average",22.0952380952381,21
17,"2","experience",21.2777777777778,18
17,"6","average",20.7,20
17,"6","experience",22.0869565217391,23
17,"8","average",21.15,20
17,"8","experience",19.1818181818182,11
17,"12","average",20.0714285714286,14
17,"12","experience",23,10
18,"2","average",20.6666666666667,24
18,"2","experience",21.0571428571429,35
18,"6","average",19.6666666666667,15
18,"6","experience",20.6,20
18,"8","average",20.6,15
18,"8","experience",19.1875,16
18,"12","average",19.8095238095238,21
18,"12","experience",18.2352941176471,17
19,"2","average",22.5555555555556,18
19,"2","experience",24.6,15
19,"6","average",20.5625,16
19,"6","experience",19.2727272727273,11
19,"8","average",21.25,24
19,"8","experience",21.8947368421053,19
19,"12","average",19.9130434782609,23
19,"12","experience",22,13
20,"2","average",21.9,20
20,"2","experience",23.3157894736842,19
20,"6","average",21.1111111111111,18
20,"6","experience",21.88,25
20,"8","average",22.6,20
