"experiment","window","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp1","high","average","2",19,39.6842105263158,33.4736842105263,0.553396852476755
"exp1","high","average","6",19,39.0526315789474,31.1578947368421,1.37917501803744
"exp1","high","average","8",23,39.8695652173913,31.8695652173913,0.96439447881821
"exp1","high","average","12",29,39.4137931034483,31.7586206896552,1.03706574081535
"exp1","high","experience","2",20,39.6,33.6,0.419272552982198
"exp1","high","experience","6",19,39.4736842105263,33.5789473684211,0.608496322667531
"exp1","high","experience","8",15,39.6,32.2,1.41151725188924
"exp1","high","experience","12",33,39.8484848484849,32.0909090909091,0.634195440498677
"exp1","low","average","2",49,10.3877551020408,18.5918367346939,0.56009471938483
"exp1","low","average","6",31,10.9354838709677,18.6774193548387,0.866816070795681
"exp1","low","average","8",25,10.44,17.64,0.86
"exp1","low","average","12",15,10.8666666666667,18.0666666666667,1.0843767868564
"exp1","low","experience","2",46,10.2826086956522,17.0217391304348,0.429007539583063
"exp1","low","experience","6",28,10.1428571428571,18.3928571428571,0.9763598381927
"exp1","low","experience","8",23,9.91304347826087,18.6086956521739,1.1153601138362
"exp1","low","experience","12",26,10.8076923076923,16.3461538461538,0.554540163468263
