"experiment","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"exp1","noise_within_condition","array_length2 - array_length6","average",0.0864472169755241,0.0858938865509355,82.5341142441624,1.00644202337102,0.746095581218364,NA
"exp1","noise_within_condition","array_length2 - array_length8","average",0.147868160022936,0.0826155412342183,81.7209298164525,1.7898346704977,0.285612992289997,NA
"exp1","noise_within_condition","array_length2 - array_length12","average",0.193914560373236,0.0852536313167766,81.4465781061245,2.27456071229046,0.112527897501305,NA
"exp1","noise_within_condition","array_length6 - array_length8","average",0.0614209430474118,0.0909974019295574,84.5496103155738,0.67497468878242,0.906287812762121,NA
"exp1","noise_within_condition","array_length6 - array_length12","average",0.107467343397712,0.0934052605930838,85.7005470010645,1.15054915232118,0.65940496185638,NA
"exp1","noise_within_condition","array_length8 - array_length12","average",0.0460464003502999,0.0903771754836211,83.4423884949596,0.509491473968942,0.956616229925073,NA
"exp1","noise_within_condition","array_length2 - array_length6","experience",0.0535592496718034,0.0889610237204702,79.0355074652419,0.602052982664579,0.931123074207394,NA
"exp1","noise_within_condition","array_length2 - array_length8","experience",0.124168502486815,0.0852978774155949,77.3945438065552,1.45570448232647,0.469071790471222,NA
"exp1","noise_within_condition","array_length2 - array_length12","experience",-0.0393066822696003,0.0889254501984353,80.5386348702097,-0.442018366866721,0.97096397405913,NA
"exp1","noise_within_condition","array_length6 - array_length8","experience",0.0706092528150119,0.0942664934693488,81.0086141694733,0.749038711596616,0.876818946166565,NA
"exp1","noise_within_condition","array_length6 - array_length12","experience",-0.0928659319414037,0.097587888712816,85.1658378685152,-0.951613291017001,0.777046395779327,NA
"exp1","noise_within_condition","array_length8 - array_length12","experience",-0.163475184756416,0.0942376035333234,82.3647332797552,-1.73471288134581,0.312553240277474,NA
"exp1","condition_within_noise","average - experience",NA,0.0154190266255996,0.0781209500860246,40.3504774780768,0.197373772446707,0.844525959519953,"2"
"exp1","condition_within_noise","average - experience",NA,-0.0174689406781211,0.0957939099347594,42.5649784787114,-0.182359616493557,0.85616627754536,"6"
"exp1","condition_within_noise","average - experience",NA,-0.00828063091052106,0.0893303389028183,40.2086693269247,-0.092696736766324,0.926604823570434,"8"
"exp1","condition_within_noise","average - experience",NA,-0.217802216017237,0.095162734954439,42.6094429074858,-2.28873430467834,0.027115903896124,"12"
