"experiment","model","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"exp1","combined","noise_within_condition","array_length2 - array_length6","average",-0.0379249641097645,0.0555425454759578,83.8203311548306,-0.68280925522545,0.903366653675795,NA
"exp1","combined","noise_within_condition","array_length2 - array_length8","average",-0.0204458296692709,0.0596390666952806,75.565744466022,-0.34282611721167,0.98603597460872,NA
"exp1","combined","noise_within_condition","array_length2 - array_length12","average",-0.0288799473228652,0.0575034056721577,87.4907494695044,-0.502230206807533,0.958339825282245,NA
"exp1","combined","noise_within_condition","array_length6 - array_length8","average",0.0174791344404936,0.0614989269178573,80.4606042624611,0.284218527322275,0.991933537386419,NA
"exp1","combined","noise_within_condition","array_length6 - array_length12","average",0.00904501678689926,0.0594321742742661,92.0944312411614,0.152190575178329,0.998735004359431,NA
"exp1","combined","noise_within_condition","array_length8 - array_length12","average",-0.00843411765359438,0.0631716052427708,83.9168017835122,-0.133511213165816,0.999143544029241,NA
"exp1","combined","noise_within_condition","array_length2 - array_length6","experience",0.0759464362538654,0.0579723394804761,83.6010213596308,1.31004608291585,0.55919428693012,NA
"exp1","combined","noise_within_condition","array_length2 - array_length8","experience",0.0861389578686027,0.062191479814618,74.7085273049399,1.38506043151518,0.512595741680443,NA
"exp1","combined","noise_within_condition","array_length2 - array_length12","experience",0.0793263918461514,0.0592372222751605,81.9193578773974,1.33913085049254,0.540958390134439,NA
"exp1","combined","noise_within_condition","array_length6 - array_length8","experience",0.0101925216147373,0.0626386304145886,73.607666259736,0.162719420065152,0.99845287080856,NA
"exp1","combined","noise_within_condition","array_length6 - array_length12","experience",0.00337995559228599,0.0597056715060552,79.724568945277,0.0566102935789476,0.999934309637385,NA
"exp1","combined","noise_within_condition","array_length8 - array_length12","experience",-0.00681256602245128,0.0637841817001483,73.514320514201,-0.106806512851061,0.999559894569691,NA
"exp1","combined","condition_within_noise","average - experience",NA,-0.0920130423771392,0.05547443103664,41.3809330991576,-1.65865680202048,0.10474704529696,"2"
"exp1","combined","condition_within_noise","average - experience",NA,0.0218583579864907,0.0580165735427,42.3945004979448,0.376760581532846,0.708230796605289,"6"
"exp1","combined","condition_within_noise","average - experience",NA,0.0145717451607344,0.0658340267067162,37.1320878240269,0.2213406332511,0.826039933822967,"8"
"exp1","combined","condition_within_noise","average - experience",NA,0.0161932967918775,0.0610522741225117,43.0997016913315,0.265236586591073,0.792091728261716,"12"
"exp1","experience","noise_within_condition","array_length2 - array_length6","experience",0.073872066728629,0.0526474019403005,36.9250361272833,1.40314742999847,0.505444691524307,NA
"exp1","experience","noise_within_condition","array_length2 - array_length8","experience",0.0808656094946582,0.0594134969429186,32.0290621936786,1.36106463439359,0.53217544647738,NA
"exp1","experience","noise_within_condition","array_length2 - array_length12","experience",0.094492501618001,0.0465263825124361,30.2595191577837,2.03094452040719,0.199247838699984,NA
"exp1","experience","noise_within_condition","array_length6 - array_length8","experience",0.00699354276602923,0.0599470362839682,33.7803642165434,0.116662027008323,0.999420386618816,NA
"exp1","experience","noise_within_condition","array_length6 - array_length12","experience",0.0206204348893719,0.0472069529069321,33.4091846719131,0.436809275320626,0.971670136064183,NA
"exp1","experience","noise_within_condition","array_length8 - array_length12","experience",0.0136268921233427,0.0546294854807917,26.7468668634511,0.249442073331151,0.994416966540938,NA
"exp1","average","noise_within_condition","array_length2 - array_length6","average",-0.0386989507509755,0.0598471962214785,43.4214491747577,-0.64662930252841,0.91615679721026,NA
"exp1","average","noise_within_condition","array_length2 - array_length8","average",-0.0171829710997419,0.0617027734202843,41.475196409428,-0.278479720558122,0.99234529363092,NA
"exp1","average","noise_within_condition","array_length2 - array_length12","average",-0.0320213149339717,0.0650655474553155,46.75805559723,-0.492139330049635,0.960463957495642,NA
"exp1","average","noise_within_condition","array_length6 - array_length8","average",0.0215159796512336,0.064060660626154,42.1015965519679,0.335868838081406,0.98676058305602,NA
"exp1","average","noise_within_condition","array_length6 - array_length12","average",0.00667763581700379,0.0673034982598772,47.3003574621507,0.0992167716337658,0.999645066369129,NA
"exp1","average","noise_within_condition","array_length8 - array_length12","average",-0.0148383438342298,0.0688489936950754,46.1066320444372,-0.215520126553297,0.996413296181716,NA
