"experiment","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp1","combined","resp_c",37901.5814400861,37901.5814400861,1,158.735215702968,1809.72281238123,1.08193459423806e-88
"exp1","combined","array_length",2667.65169135896,889.217230452986,3,3875.39361418646,42.4582997851177,5.4529058962911e-27
"exp1","combined","condition",3.59429644169198,3.59429644169198,1,42.5458765021678,0.171620286485225,0.680757043852158
"exp1","combined","resp_c:array_length",14.2424770652738,4.74749235509128,3,79.9929458786671,0.226683027202853,0.877573987501679
"exp1","combined","resp_c:condition",2.2454040860974,2.2454040860974,1,158.735215722012,0.107213441846696,0.743770598801826
"exp1","combined","array_length:condition",10.3940183299856,3.46467277666186,3,3875.39361417757,0.165431022219292,0.919697980040765
"exp1","combined","resp_c:array_length:condition",58.3921673697633,19.4640557899211,3,79.9929458755219,0.929368761041365,0.430525603207921
"exp1","experience","resp_c",23457.9698092657,23457.9698092657,1,61.4512825439071,1132.31232487945,2.69453994963932e-41
"exp1","experience","array_length",1226.23653358301,408.745511194336,3,1832.35628853294,19.7300782560342,1.37633515852848e-12
"exp1","experience","resp_c:array_length",90.3824698845365,30.1274899615122,3,33.766974293223,1.45424896009661,0.244447838905177
"exp1","average","resp_c",16637.5797659364,16637.5797659364,1,88.2030979898916,785.55356755721,1.07030888111943e-45
"exp1","average","array_length",1441.45087272775,480.483624242582,3,2034.35388572306,22.6863300123349,1.90830638096072e-14
"exp1","average","resp_c:array_length",10.2304836102831,3.4101612034277,3,45.3730846409977,0.161012859862135,0.922015629399404
