"experiment","condition","1","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp1","experience","overall",0.849085928870199,0.0324589680420499,77.6593044358596,0.784460621844574,0.913711235895824,26.158746876063,2.94958699232662e-40
"exp1","average","overall",0.791827688799517,0.0310203883236144,83.8283522077517,0.730138399183368,0.853516978415667,25.5260405040363,2.71503664081548e-41
