"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"noise","exp1","slope_fwd","X2 - X6","average",0.0937112653679529,0.058264737922359,42,1.60837015164864,0.38504184059054,NA
"noise","exp1","slope_fwd","X2 - X8","average",0.161430863649346,0.0634943191191898,42,2.54244577922495,0.0677639592768631,NA
"noise","exp1","slope_fwd","X2 - X12","average",0.206833778974191,0.0557065133212707,42,3.71291912996492,0.0032284972585781,NA
"noise","exp1","slope_fwd","X6 - X8","average",0.067719598281393,0.0468579090199557,42,1.44521169846808,0.479055723563094,NA
"noise","exp1","slope_fwd","X6 - X12","average",0.113122513606239,0.0646324366037715,42,1.75024367872335,0.311386003915093,NA
"noise","exp1","slope_fwd","X8 - X12","average",0.0454029153248456,0.0628646642878614,42,0.722232685709457,0.887675447945032,NA
"noise","exp1","slope_fwd","X2 - X6","experience",0.0514982920663416,0.060976159571827,42,0.844564374469649,0.83286650954336,NA
"noise","exp1","slope_fwd","X2 - X8","experience",0.132154984669524,0.0664491057983544,42,1.98881509512799,0.208428971102339,NA
"noise","exp1","slope_fwd","X2 - X12","experience",-0.0500601955140366,0.058298884824545,42,-0.858681871269006,0.825905884403335,NA
"noise","exp1","slope_fwd","X6 - X8","experience",0.0806566926031825,0.0490384997768353,42,1.64476264506939,0.365342715540725,NA
"noise","exp1","slope_fwd","X6 - X12","experience",-0.101558487580378,0.0676401869878693,42,-1.50145190459914,0.445718434578961,NA
"noise","exp1","slope_fwd","X8 - X12","experience",-0.182215180183561,0.065790149200602,42,-2.76964230052078,0.0399417132936739,NA
"condition","exp1","slope_fwd","average - experience",NA,0.0200467683086387,0.0808117918943569,42,0.248067365401887,0.805291160431926,"X2"
"condition","exp1","slope_fwd","average - experience",NA,-0.0221662049929726,0.0961034009529296,42,-0.230649537614484,0.818706927493625,"X6"
"condition","exp1","slope_fwd","average - experience",NA,-0.00922911067118301,0.0915279308426387,42,-0.100833817461146,0.920162204170338,"X8"
"condition","exp1","slope_fwd","average - experience",NA,-0.236847206179589,0.0961805508779877,42,-2.46252702877579,0.0179805129709178,"X12"
"noise","exp1","slope_rev","X2 - X6","average",-0.0170542090975432,0.0389916291374297,42,-0.437381291185195,0.971654641760675,NA
"noise","exp1","slope_rev","X2 - X8","average",0.00593041373355322,0.0430911101267426,42,0.137624993092781,0.999054351356859,NA
"noise","exp1","slope_rev","X2 - X12","average",-0.00597585934139957,0.0372150600364809,42,-0.160576372456247,0.998502070316055,NA
"noise","exp1","slope_rev","X6 - X8","average",0.0229846228310965,0.0360633204996738,42,0.637340724942519,0.919330337235887,NA
"noise","exp1","slope_rev","X6 - X12","average",0.0110783497561437,0.0346387575083088,42,0.31982526375221,0.988520380762609,NA
"noise","exp1","slope_rev","X8 - X12","average",-0.0119062730749528,0.0413870707078876,42,-0.287680980347412,0.991580307936819,NA
"noise","exp1","slope_rev","X2 - X6","experience",0.098387774398564,0.0408061528298238,42,2.4111014534714,0.0904506346035194,NA
"noise","exp1","slope_rev","X2 - X8","experience",0.10915642755126,0.0450964082378052,42,2.42051267089054,0.088636572682911,NA
"noise","exp1","slope_rev","X2 - X12","experience",0.0905326581804328,0.0389469088882449,42,2.32451459601606,0.108632658105886,NA
"noise","exp1","slope_rev","X6 - X8","experience",0.0107686531526959,0.0377415717274545,42,0.285326038630829,0.991780973892506,NA
"noise","exp1","slope_rev","X6 - X12","experience",-0.00785511621813126,0.0362507149351809,42,-0.216688587581702,0.99635014828144,NA
"noise","exp1","slope_rev","X8 - X12","experience",-0.0186237693708272,0.0433130692367914,42,-0.429980366180275,0.97300118009023,NA
"condition","exp1","slope_rev","average - experience",NA,-0.073425564311274,0.0607891834066239,42,-1.20787219364544,0.233854091037487,"X2"
"condition","exp1","slope_rev","average - experience",NA,0.0420164191848332,0.0617215810054618,42,0.680741136250466,0.499771254902648,"X6"
"condition","exp1","slope_rev","average - experience",NA,0.0298004495064327,0.0727106426310546,42,0.40984989855811,0.683999083133538,"X8"
"condition","exp1","slope_rev","average - experience",NA,0.0230829532105584,0.0598405304105625,42,0.385741119809392,0.701635397536611,"X12"
"noise","exp1","r","X2 - X6","average",0.0695379613780881,0.0628374221966448,42,1.10663294176,0.68748902695272,NA
"noise","exp1","r","X2 - X8","average",0.147268145314453,0.0677641430416346,42,2.17324588940748,0.147450394831568,NA
"noise","exp1","r","X2 - X12","average",0.128114160188007,0.067677837171525,42,1.89300021310241,0.246486382864635,NA
"noise","exp1","r","X6 - X8","average",0.0777301839363645,0.0570105203052172,42,1.36343579255584,0.528807560725388,NA
"noise","exp1","r","X6 - X12","average",0.0585761988099189,0.0662110280502879,42,0.884689462387289,0.812770203406754,NA
"noise","exp1","r","X8 - X12","average",-0.0191539851264455,0.0687667995786995,42,-0.278535357815001,0.992342278654143,NA
"noise","exp1","r","X2 - X6","experience",0.140675935644899,0.0657616393649737,42,2.1391792693025,0.157536808878257,NA
"noise","exp1","r","X2 - X8","experience",0.242552888505732,0.0709176312585656,42,3.42020572601169,0.00738810929008737,NA
"noise","exp1","r","X2 - X12","experience",0.0823396068297747,0.070827309038035,42,1.16254038093636,0.65339010590778,NA
"noise","exp1","r","X6 - X8","experience",0.101876952860833,0.0596635753864738,42,1.70752342951156,0.332653113239813,NA
"noise","exp1","r","X6 - X12","experience",-0.0583363288151239,0.0692922401399795,42,-0.84188833695197,0.834172074253269,NA
"noise","exp1","r","X8 - X12","experience",-0.160213281675957,0.0719669476578134,42,-2.22620643073172,0.132777648514019,NA
"condition","exp1","r","average - experience",NA,-0.108863754972878,0.0923356863971102,42,-1.17899979109578,0.245034340512244,"X2"
"condition","exp1","r","average - experience",NA,-0.0377257807060674,0.104467540501599,42,-0.361124427022287,0.719816664389042,"X6"
"condition","exp1","r","average - experience",NA,-0.0135790117815989,0.107824420095854,42,-0.125936330281464,0.900383255976996,"X8"
"condition","exp1","r","average - experience",NA,-0.15463830833111,0.111936963544779,42,-1.38147671183925,0.174437886815571,"X12"
"noise","exp1","bias","X2 - X6","average",-1.89157255787691,0.392967471623293,42,-4.81356014039301,0.000111352658469288,NA
"noise","exp1","bias","X2 - X8","average",-2.15844155844156,0.507637929843475,42,-4.25193121228567,0.000646832767261074,NA
"noise","exp1","bias","X2 - X12","average",-3.49617670405505,0.50336297310015,42,-6.94563742446636,1.02830178372315e-07,NA
"noise","exp1","bias","X6 - X8","average",-0.266869000564653,0.408590284853213,42,-0.653145731696793,0.91385629998624,NA
"noise","exp1","bias","X6 - X12","average",-1.60460414617815,0.40138681325388,42,-3.99765037912001,0.00139740231891816,NA
"noise","exp1","bias","X8 - X12","average",-1.3377351456135,0.36697922428192,42,-3.64526124941019,0.00392182683661202,NA
