"experiment","condition","term","b","SE","df","t","p"
"exp1","experience","(Intercept)",24.5953292639015,0.60906602555025,19.980879274496,40.3820410795057,1.24859620526381e-20
"exp1","experience","meanVal_c",0.849085928870199,0.0324589680420499,77.6593044358596,26.158746876063,2.94958699232662e-40
"exp1","experience","array_length1",-1.88829969471746,0.207544185463435,1840.51190427282,-9.09830208204097,2.3154316952491e-19
"exp1","experience","array_length2",-0.321422229546175,0.205049707019155,1840.52306245879,-1.56753322996042,0.117162003863861
"exp1","experience","array_length3",0.396212666407715,0.206830491666888,1842.09942185785,1.91563953271376,0.0555656532918417
"exp1","experience","meanVal_c:array_length1",0.0351815731207955,0.0536126955423081,36.3042912536089,0.656217203125559,0.515822302129887
"exp1","experience","meanVal_c:array_length2",-0.0190080030061719,0.0585896153263129,32.9356726047063,-0.32442614446788,0.747666992401495
"exp1","experience","meanVal_c:array_length3",-0.0897168698153879,0.0535023008849233,36.1571264450378,-1.676878719821,0.10219255853285
"exp1","average","(Intercept)",24.8654405458813,0.651664814019153,21.9927114130173,38.1567947370417,1.36260409292432e-21
"exp1","average","meanVal_c",0.791827688799517,0.0310203883236144,83.8283522077517,25.5260405040363,2.71503664081548e-41
"exp1","average","array_length1",-1.89498763906468,0.201717414093806,2026.789636636,-9.39426894588012,1.49708480121438e-20
"exp1","average","array_length2",0.0750091087463267,0.201570677363236,2025.99022709225,0.372123116950974,0.709840103735069
"exp1","average","array_length3",0.306482284326188,0.20336968849702,2027.66842453897,1.50702047385335,0.131961181678711
"exp1","average","meanVal_c:array_length1",0.106349580591006,0.0472737410384141,46.9012979363209,2.24965442241154,0.0292040008040534
"exp1","average","meanVal_c:array_length2",0.0208125103156565,0.0563725941155053,35.1291944362908,0.369195539822284,0.714198074142311
"exp1","average","meanVal_c:array_length3",-0.0407320591178383,0.0558549478864671,34.3201619623121,-0.729247106283795,0.470798338365566
