"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"SD 3","14-17",1250,2.86005475289254,-0.0161664265253883,10.9416,19.6392,0,0
"SD 3","18-21",1362,2.8648387960283,-0.0113209017797924,14.8399412628488,23.5734214390602,0,0
"SD 3","22-28",2214,2.85547923127932,-0.0158770407497411,20.3274616079494,28.9887082204155,0,0
"SD 3","29-31",931,2.85464654781115,-0.0212352207872738,25.359828141783,34.0193340494092,0,0
"SD 3","32+",1257,2.86072122689258,-0.00459292047054783,28.769291964996,37.4940334128878,0,0
"SD 5","14-17",1254,4.74443495305162,0.00378700832889919,8.18979266347687,22.6826156299841,0,0
"SD 5","18-21",1286,4.74724908989529,-0.00888423904101226,11.9199066874028,26.4440124416796,0,0
"SD 5","22-28",2336,4.74735332471793,0.00258158232103744,17.4743150684932,32.0089897260274,0,0
"SD 5","29-31",929,4.74265941080318,0.0132650759880551,22.5156081808396,36.9720129171152,0,0
"SD 5","32+",1222,4.74916601479566,0.0156001153090494,25.9189852700491,40.4918166939444,0,0
"SD 7","14-17",1095,6.64767197363343,0.0235568620965237,5.44566210045662,25.5068493150685,0.0328767123287671,0
"SD 7","18-21",1271,6.64603520027254,0.00196644948846816,9.10778914240755,29.3800157356412,0.001573564122738,0
"SD 7","22-28",2262,6.64647511983877,-0.0125321361026078,14.6352785145889,34.8925729442971,0,0
"SD 7","29-31",1040,6.64655685923085,-0.00769892943321717,19.5423076923077,39.8596153846154,0,0
"SD 7","32+",1369,6.64345031918999,-0.0300394032800242,22.9357195032871,43.2096420745069,0,0
